"des","pitcher_name","pitch_type","start_speed","end_speed"
"In play, out(s)","Mariano Rivera","FC","91.7","85.4"
"Ball","Mariano Rivera","FC","90.1","83.5"
"Foul","Mariano Rivera","FC","90.5","83.8"
"In play, out(s)","Mariano Rivera","FC","89.9","84.4"
"Called Strike","Mariano Rivera","FC","92.5","86.3"
"Foul","Mariano Rivera","FC","92.4","85.9"
"In play, out(s)","Mariano Rivera","FC","91.4","86.1"
"Foul","Mariano Rivera","FC","91.2","84.6"
"Foul","Mariano Rivera","FC","91.6","85.2"
"Foul","Mariano Rivera","FF","92.9","86.1"
"In play, out(s)","Mariano Rivera","FF","93.3","86.9"
"Called Strike","Mariano Rivera","FC","92.5","85.2"
"In play, out(s)","Mariano Rivera","FC","92.9","85.7"
"Called Strike","Mariano Rivera","FC","91.8","85.4"
"Ball","Mariano Rivera","FC","91.4","84.8"
"Called Strike","Mariano Rivera","FC","92.3","86.3"
"Ball","Mariano Rivera","FC","92.1","86.0"
"Foul","Mariano Rivera","FC","92.7","86.5"
"Called Strike","Mariano Rivera","FC","91.3","85.0"
"Ball","Mariano Rivera","FC","91.6","85.7"
"Foul","Mariano Rivera","FC","91.7","85.7"
"Ball","Mariano Rivera","FC","91.8","84.9"
"Ball","Mariano Rivera","FC","91.8","85.4"
"Swinging Strike","Mariano Rivera","FC","91.7","85.0"
"Ball","Mariano Rivera","FC","92.9","87.0"
"Swinging Strike","Mariano Rivera","FC","92.7","86.1"
"Called Strike","Mariano Rivera","FC","92.8","86.3"
"Ball","Mariano Rivera","FC","91.6","85.6"
"In play, run(s)","Mariano Rivera","FC","92.7","86.9"
"Called Strike","Phil Hughes","FF","91.8","84.0"
"Foul","Phil Hughes","FF","92.2","84.3"
"Ball","Phil Hughes","FC","88.9","81.8"
"Foul","Phil Hughes","FF","92.4","84.4"
"Ball","Phil Hughes","FF","91.7","84.3"
"Called Strike","Phil Hughes","FF","92.3","84.3"
"Foul","Phil Hughes","FF","92.9","84.5"
"Foul","Phil Hughes","FF","92.9","85.1"
"In play, run(s)","Phil Hughes","FF","92.4","84.8"
"Foul","Phil Hughes","FC","88.7","81.5"
"Foul","Phil Hughes","FF","92.8","84.3"
"Foul","Phil Hughes","FF","92.1","84.3"
"Foul","Phil Hughes","FF","92.3","84.5"
"In play, no out","Phil Hughes","FF","90.8","82.9"
"Called Strike","Phil Hughes","FF","91.9","83.8"
"In play, out(s)","Phil Hughes","FC","88.4","82.1"
"In play, out(s)","Phil Hughes","FC","89.3","82.3"
"In play, out(s)","Phil Hughes","FF","92.3","84.4"
"Ball","Phil Hughes","FF","91.4","82.3"
"Foul","Phil Hughes","FC","87.5","79.5"
"Foul","Phil Hughes","FF","90.8","83.0"
"Ball","Phil Hughes","FF","91.6","82.7"
"In play, out(s)","Phil Hughes","FF","88.8","81.0"
"Ball","Phil Hughes","FC","87.1","80.6"
"Called Strike","Phil Hughes","FF","91.0","83.4"
"Hit By Pitch","Phil Hughes","FC","87.4","81.4"
"Ball","Phil Hughes","FF","90.6","82.6"
"Ball","Phil Hughes","FC","87.9","80.5"
"Ball","Phil Hughes","FF","90.3","81.6"
"Foul","Phil Hughes","FF","92.0","83.4"
"Hit By Pitch","Phil Hughes","FF","91.3","83.6"
