"des","pitcher_name","pitch_type","start_speed","end_speed"
"Ball","Mariano Rivera","FC","91.9","85.5"
"Ball","Mariano Rivera","FC","92.1","85.3"
"In play, no out","Mariano Rivera","FC","90.8","84.6"
"Called Strike","Mariano Rivera","FC","91.8","85.1"
"Ball","Mariano Rivera","FF","91.8","84.6"
"Called Strike","Mariano Rivera","FC","92.7","86.5"
"Ball","Mariano Rivera","FC","92.3","86.1"
"Swinging Strike","Mariano Rivera","FC","92.5","85.4"
"Called Strike","Phil Hughes","FF","91.3","82.9"
"Ball","Phil Hughes","FF","92.1","83.5"
"Foul","Phil Hughes","FF","91.5","83.6"
"Ball","Phil Hughes","FF","92.0","83.5"
"In play, out(s)","Phil Hughes","FF","91.3","83.6"
"Ball","Phil Hughes","FF","92.3","83.6"
"Foul","Phil Hughes","FF","92.3","83.9"
"Foul","Phil Hughes","FF","92.5","83.6"
"Foul","Phil Hughes","FF","93.2","83.9"
"Foul","Phil Hughes","FF","92.1","84.2"
"Foul","Phil Hughes","FF","92.4","84.0"
"Foul","Phil Hughes","FF","91.6","83.4"
"Called Strike","Phil Hughes","FF","90.2","81.9"
"Ball","Phil Hughes","FC","88.5","80.9"
"Foul","Phil Hughes","FF","91.5","83.0"
"Ball","Phil Hughes","FF","91.4","83.5"
"Ball","Phil Hughes","FF","91.1","82.5"
"Foul Tip","Phil Hughes","FF","91.4","83.1"
"Swinging Strike","Phil Hughes","FF","91.4","83.1"
"Ball","Phil Hughes","FF","90.9","83.5"
"Swinging Strike","Phil Hughes","FF","91.3","83.0"
"Foul","Phil Hughes","FF","91.7","83.2"
"In play, out(s)","Phil Hughes","FF","91.3","84.7"
"Called Strike","Phil Hughes","FF","90.6","82.5"
"Ball","Phil Hughes","FF","90.2","82.2"
"In play, out(s)","Phil Hughes","FC","88.4","81.6"
"Called Strike","Phil Hughes","FF","90.9","82.7"
"Foul","Phil Hughes","FF","91.6","82.9"
"Foul","Phil Hughes","FF","91.3","82.6"
"Foul","Phil Hughes","FC","87.9","80.5"
"Ball","Phil Hughes","FF","91.2","83.0"
"Foul","Phil Hughes","FF","91.6","82.9"
"Ball","Phil Hughes","FF","91.5","82.8"
"In play, out(s)","Phil Hughes","FF","92.0","84.0"
"Called Strike","Mariano Rivera","FC","91.4","84.7"
"Foul","Mariano Rivera","FC","90.7","84.2"
"Ball","Mariano Rivera","FC","91.8","84.5"
"Ball","Mariano Rivera","FC","92.2","85.4"
"Foul","Mariano Rivera","FC","92.1","85.5"
"Called Strike","Mariano Rivera","FC","90.4","85.2"
"Ball","Mariano Rivera","FC","92.2","85.0"
"Ball","Mariano Rivera","FC","93.3","84.9"
"Called Strike","Mariano Rivera","FC","91.9","84.6"
"In play, out(s)","Mariano Rivera","FC","91.1","84.1"
"Ball","Mariano Rivera","FC","91.7","85.7"
"Ball","Mariano Rivera","FC","92.2","86.4"
"Called Strike","Mariano Rivera","FC","90.4","85.4"
"Swinging Strike","Mariano Rivera","FC","91.3","86.1"
"In play, out(s)","Mariano Rivera","FC","91.6","85.9"
"Called Strike","Mariano Rivera","FC","92.0","85.6"
"Foul","Mariano Rivera","FC","90.7","84.7"
"Called Strike","Mariano Rivera","FC","92.9","87.3"
"Called Strike","Mariano Rivera","FC","91.2","85.3"
"Foul","Mariano Rivera","FF","92.7","86.6"
"Foul","Mariano Rivera","FC","91.3","85.9"
"Ball","Mariano Rivera","FC","91.1","85.6"
"Ball","Mariano Rivera","FF","93.3","87.2"
"Foul","Mariano Rivera","FC","91.0","85.1"
"Swinging Strike","Mariano Rivera","FC","91.8","85.9"
"Ball","Mariano Rivera","FF","92.4","85.5"
"Foul","Mariano Rivera","FC","92.8","85.0"
"Called Strike","Mariano Rivera","FC","92.2","85.1"
"Foul","Mariano Rivera","FC","92.6","85.4"
"Foul","Mariano Rivera","FC","93.4","86.0"
"Foul","Mariano Rivera","FC","92.8","85.7"
"Ball","Mariano Rivera","FC","92.5","85.7"
"Foul","Mariano Rivera","FC","91.8","85.3"
"Foul","Mariano Rivera","FC","93.4","86.5"
"Ball","Mariano Rivera","FF","93.7","86.4"
"Called Strike","Mariano Rivera","FC","92.6","86.2"
"Ball","Phil Hughes","FF","94.2","85.7"
"Called Strike","Phil Hughes","FF","95.2","86.8"
"In play, out(s)","Phil Hughes","FF","94.5","85.8"
"Called Strike","Phil Hughes","FF","92.6","85.0"
"Ball","Phil Hughes","FF","93.6","86.4"
"Swinging Strike","Phil Hughes","FF","93.4","86.2"
"Ball","Phil Hughes","FF","94.4","86.8"
"Called Strike","Phil Hughes","FF","94.2","86.8"
"Ball","Phil Hughes","FF","94.3","86.8"
"Ball","Phil Hughes","FF","94.3","86.7"
"Ball","Phil Hughes","FF","94.6","86.7"
"In play, no out","Phil Hughes","FF","90.5","83.3"
"In play, no out","Phil Hughes","FF","92.8","85.3"
"In play, out(s)","Mariano Rivera","FF","93.0","86.4"
