fill	ymin	ymax	xmin	xmax	clickSelects
#F8766D	0.0454545454545455	0.0456226751086901	0.0454545454545455	0.954545454545454	Lesser Antilles
#E38900	0.0456226751086901	0.049304168717061	0.0454545454545455	0.954545454545454	Oceania
#C49A00	0.049304168717061	0.0529679456295721	0.0454545454545455	0.954545454545454	Greater Antilles
#99A800	0.0529679456295721	0.057475144638926	0.0454545454545455	0.954545454545454	Isthmic Central America
#53B400	0.057475144638926	0.0658143396931977	0.0454545454545455	0.954545454545454	Central America
#00BC56	0.0658143396931977	0.0908205611167488	0.0454545454545455	0.954545454545454	(Former) Soviet Union
#00C094	0.0908205611167488	0.117739738301854	0.0454545454545455	0.954545454545454	Eastern Europe
#00BFC4	0.117739738301854	0.158846230783693	0.0454545454545455	0.954545454545454	South America
#00B6EB	0.158846230783693	0.197045306101018	0.0454545454545455	0.954545454545454	Western Europe
#06A4FF	0.197045306101018	0.243499914297721	0.0454545454545455	0.954545454545454	North America
#A58AFF	0.243499914297721	0.30861816680015	0.0454545454545455	0.954545454545454	Europe
#DF70F8	0.30861816680015	0.404518462532964	0.0454545454545455	0.954545454545454	The Americas
#FB61D7	0.404518462532964	0.532615094904045	0.0454545454545455	0.954545454545454	Africa
#FF66A8	0.532615094904045	0.954545454545454	0.0454545454545455	0.954545454545454	Asia
