fill	ymin	ymax	xmin	xmax	clickSelects
#F8766D	0.0454545454545455	0.0456051882045734	0.0454545454545455	0.954545454545454	Lesser Antilles
#E38900	0.0456051882045734	0.0493548119176784	0.0454545454545455	0.954545454545454	Oceania
#C49A00	0.0493548119176784	0.0527244156347037	0.0454545454545455	0.954545454545454	Greater Antilles
#99A800	0.0527244156347037	0.0574429002890285	0.0454545454545455	0.954545454545454	Isthmic Central America
#53B400	0.0574429002890285	0.0656815538394745	0.0454545454545455	0.954545454545454	Central America
#00BC56	0.0656815538394745	0.0858672944885566	0.0454545454545455	0.954545454545454	(Former) Soviet Union
#00C094	0.0858672944885566	0.10567417870554	0.0454545454545455	0.954545454545454	Eastern Europe
#00BFC4	0.10567417870554	0.14595210945966	0.0454545454545455	0.954545454545454	South America
#00B6EB	0.14595210945966	0.178666021059313	0.0454545454545455	0.954545454545454	Western Europe
#06A4FF	0.178666021059313	0.226112359214479	0.0454545454545455	0.954545454545454	North America
#A58AFF	0.226112359214479	0.278633155031116	0.0454545454545455	0.954545454545454	Europe
#DF70F8	0.278633155031116	0.374596077490848	0.0454545454545455	0.954545454545454	The Americas
#FB61D7	0.374596077490848	0.550726774085807	0.0454545454545455	0.954545454545454	Africa
#FF66A8	0.550726774085807	0.954545454545454	0.0454545454545455	0.954545454545454	Asia
