fill	ymin	ymax	xmin	xmax	clickSelects
#F8766D	0.0454545454545455	0.0456300742693271	0.0454545454545455	0.954545454545454	Lesser Antilles
#E38900	0.0456300742693271	0.0491901010575989	0.0454545454545455	0.954545454545454	Oceania
#C49A00	0.0491901010575989	0.0530109689774991	0.0454545454545455	0.954545454545454	Greater Antilles
#99A800	0.0530109689774991	0.0572447076427616	0.0454545454545455	0.954545454545454	Isthmic Central America
#53B400	0.0572447076427616	0.065474843042706	0.0454545454545455	0.954545454545454	Central America
#00BC56	0.065474843042706	0.0945895357771658	0.0454545454545455	0.954545454545454	(Former) Soviet Union
#00C094	0.0945895357771658	0.127552069427511	0.0454545454545455	0.954545454545454	Eastern Europe
#00BFC4	0.127552069427511	0.16807409171399	0.0454545454545455	0.954545454545454	South America
#00B6EB	0.16807409171399	0.210086269858204	0.0454545454545455	0.954545454545454	Western Europe
#06A4FF	0.210086269858204	0.256530295149556	0.0454545454545455	0.954545454545454	North America
#A58AFF	0.256530295149556	0.331505006944116	0.0454545454545455	0.954545454545454	Europe
#DF70F8	0.331505006944116	0.426701292092331	0.0454545454545455	0.954545454545454	The Americas
#FB61D7	0.426701292092331	0.531724636607333	0.0454545454545455	0.954545454545454	Africa
#FF66A8	0.531724636607333	0.954545454545454	0.0454545454545455	0.954545454545454	Asia
