y	x	clickSelects	group	xmin	xmax	ymin	ymax
0.887323943661972	0.22496117921921	Africa	13	0.0454545454545455	0.22496117921921	0.855633802816901	0.919014084507042
0.816901408450704	0.208164700732604	The Americas	12	0.0454545454545455	0.208164700732604	0.785211267605634	0.848591549295775
0.676056338028169	0.124836997775331	North America	10	0.0454545454545455	0.124836997775331	0.644366197183099	0.707746478873239
0.535211267605634	0.114715068889346	South America	8	0.0454545454545455	0.114715068889346	0.503521126760563	0.566901408450704
0.323943661971831	0.0595215503465899	Central America	5	0.0454545454545455	0.0595215503465899	0.292253521126761	0.355633802816901
0.253521126760563	0.0526908811430553	Isthmic Central America	4	0.0454545454545455	0.0526908811430553	0.221830985915493	0.285211267605634
0.183098591549296	0.0519851995822351	Greater Antilles	3	0.0454545454545455	0.0519851995822351	0.151408450704225	0.214788732394366
0.0422535211267606	0.0457545605303903	Lesser Antilles	1	0.0454545454545455	0.0457545605303903	0.0105633802816901	0.073943661971831
0.957746478873239	0.768142839797066	Asia	14	0.0454545454545455	0.768142839797066	0.926056338028169	0.98943661971831
0.746478873239437	0.173601846360533	Europe	11	0.0454545454545455	0.173601846360533	0.714788732394366	0.778169014084507
0.605633802816901	0.117262053686318	Western Europe	9	0.0454545454545455	0.117262053686318	0.573943661971831	0.637323943661972
0.464788732394366	0.101794338128761	Eastern Europe	7	0.0454545454545455	0.101794338128761	0.433098591549296	0.496478873239437
0.112676056338028	0.0515393680987474	Oceania	2	0.0454545454545455	0.0515393680987474	0.0809859154929577	0.144366197183099
0.394366197183099	0.0952175815679958	(Former) Soviet Union	6	0.0454545454545455	0.0952175815679958	0.362676056338028	0.426056338028169
