y	x	clickSelects	group	xmin	xmax	ymin	ymax
0.887323943661972	0.0852687114364717	Africa	13	0.0454545454545455	0.0852687114364717	0.855633802816901	0.919014084507042
0.816901408450704	0.10332497383294	The Americas	12	0.0454545454545455	0.10332497383294	0.785211267605634	0.848591549295775
0.676056338028169	0.0794011290450934	North America	10	0.0454545454545455	0.0794011290450934	0.644366197183099	0.707746478873239
0.535211267605634	0.0650203132733672	South America	8	0.0454545454545455	0.0650203132733672	0.503521126760563	0.566901408450704
0.323943661971831	0.049812447793142	Central America	5	0.0454545454545455	0.049812447793142	0.292253521126761	0.355633802816901
0.253521126760563	0.0470721471120257	Isthmic Central America	4	0.0454545454545455	0.0470721471120257	0.221830985915493	0.285211267605634
0.183098591549296	0.0480457117498809	Greater Antilles	3	0.0454545454545455	0.0480457117498809	0.151408450704225	0.214788732394366
0.0422535211267606	0.0456036798403263	Lesser Antilles	1	0.0454545454545455	0.0456036798403263	0.0105633802816901	0.073943661971831
0.957746478873239	0.296497137134953	Asia	14	0.0454545454545455	0.296497137134953	0.926056338028169	0.98943661971831
0.746478873239437	0.14019574394562	Europe	11	0.0454545454545455	0.14019574394562	0.714788732394366	0.778169014084507
0.605633802816901	0.0987377817419661	Western Europe	9	0.0454545454545455	0.0987377817419661	0.573943661971831	0.637323943661972
0.464788732394366	0.0869125076581991	Eastern Europe	7	0.0454545454545455	0.0869125076581991	0.433098591549296	0.496478873239437
0.112676056338028	0.0476274718740669	Oceania	2	0.0454545454545455	0.0476274718740669	0.0809859154929577	0.144366197183099
0.394366197183099	0.0768131060974676	(Former) Soviet Union	6	0.0454545454545455	0.0768131060974676	0.362676056338028	0.426056338028169
