fill,x,y,showSelected,PANEL,group
#F8766D,0.525914273763844,0.388569804660624,FC.Mariano Rivera,1,1
#F8766D,0.472812744367055,0.516303209787909,FC.Mariano Rivera,1,1
#F8766D,0.40352615977741,0.446752819408298,FC.Mariano Rivera,1,1
#F8766D,0.577197257633345,0.493718029256035,FC.Mariano Rivera,1,1
#F8766D,0.356789539726127,0.263528672709324,FC.Mariano Rivera,1,1
#F8766D,0.543736019931259,0.307801609381076,FC.Mariano Rivera,1,1
#F8766D,0.512820745967375,0.461560321876215,FC.Mariano Rivera,1,1
#F8766D,0.524459437342014,0.629976966107272,FC.Mariano Rivera,1,1
#F8766D,0.475904271763444,0.490577043884053,FC.Mariano Rivera,1,1
#F8766D,0.549009801960392,0.469487570672171,FC.Mariano Rivera,1,1
#F8766D,0.616659695575479,0.464103024320201,FC.Mariano Rivera,1,1
#F8766D,0.408254378148357,0.418932663256454,FC.Mariano Rivera,1,1
#F8766D,0.437714815690411,0.572242663555595,FC.Mariano Rivera,1,1
#F8766D,0.157295095382713,0.486089921924078,FF.Mariano Rivera,1,2
#F8766D,0.561375911545946,0.620703580723324,FC.Mariano Rivera,1,1
#00BFC4,0.454809143646911,0.467393580424183,FF.Phil Hughes,1,4
#00BFC4,0.442806743166815,0.525576595171857,FF.Phil Hughes,1,4
#00BFC4,0.603202458673553,0.488483053636064,FF.Phil Hughes,1,4
#00BFC4,0.847069413882777,0.494166741452033,FC.Phil Hughes,1,3
#00BFC4,0.575196857553329,0.51420921953992,FF.Phil Hughes,1,4
#00BFC4,0.79233119351143,0.468141434084178,FC.Phil Hughes,1,3
#00BFC4,0.454445434541454,0.547114780579736,FF.Phil Hughes,1,4
#00BFC4,0.440442633981342,0.463504741392204,FF.Phil Hughes,1,4
#00BFC4,0.676126134317773,0.548012204971731,FC.Phil Hughes,1,3
#00BFC4,0.416074123915692,0.611280624607377,FC.Phil Hughes,1,3
#00BFC4,0.430440633581262,0.471880702384157,FF.Phil Hughes,1,4
#00BFC4,0.323873865682227,0.839824703102097,FF.Phil Hughes,1,4
#00BFC4,0.514821146047391,0.58570402943552,FF.Phil Hughes,1,4
#00BFC4,0.680490643583262,0.430748751084388,FC.Phil Hughes,1,3
#00BFC4,0.475722417210715,0.437629004756349,FC.Phil Hughes,1,3
#00BFC4,0.458991798359672,0.381988692452661,FF.Phil Hughes,1,4
#00BFC4,0.232764734765135,0.43030003888839,FF.Phil Hughes,1,4
#00BFC4,0.556102129516812,0.373612731460708,FC.Phil Hughes,1,3
#00BFC4,0.221307897943225,0.40173202907655,FF.Phil Hughes,1,4
#00BFC4,0.458991798359672,0.646728888091178,FF.Phil Hughes,1,4
#00BFC4,0.743048609721944,0.363890633880762,FF.Phil Hughes,1,4
#00BFC4,0.568468239102366,0.553396751323701,FC.Phil Hughes,1,3
#00BFC4,0.252768735565295,0.462906458464208,FF.Phil Hughes,1,4
#00BFC4,0.548646092854935,0.714783571150797,FF.Phil Hughes,1,4
#00BFC4,0.569923075524196,0.494166741452033,FC.Phil Hughes,1,3
#00BFC4,0.60211133135718,0.48040623410811,FF.Phil Hughes,1,4
#00BFC4,0.423166451472113,0.563866702563642,FF.Phil Hughes,1,4
#00BFC4,0.627389114186474,0.459167190164229,FC.Phil Hughes,1,3
#00BFC4,0.187301096582953,0.481154087768105,FF.Phil Hughes,1,4
#00BFC4,0.481905472003492,0.633267522211254,FF.Phil Hughes,1,4
#00BFC4,0.478813944607103,0.551302761075713,FF.Phil Hughes,1,4
#00BFC4,0.671579770499554,0.581665619671543,FF.Phil Hughes,1,4
#00BFC4,0.653394315226682,0.45527835113225,FF.Phil Hughes,1,4
#00BFC4,0.605748422411755,0.549358341559724,FF.Phil Hughes,1,4
#00BFC4,0.469539362417938,0.525277453707858,FF.Phil Hughes,1,4
#00BFC4,0.382431031660878,0.802731161566305,FF.Phil Hughes,1,4
#00BFC4,0.639209660113841,0.404424302252535,FF.Phil Hughes,1,4
#00BFC4,0.769781228973067,0.406368721768524,FC.Phil Hughes,1,3
