xmin	xmax	clickSelects	group
0.0454545454545455	0.0887445887445888	1950	1
0.0887445887445888	0.132034632034632	1955	1
0.132034632034632	0.175324675324675	1960	1
0.175324675324675	0.218614718614719	1965	1
0.218614718614719	0.261904761904762	1970	1
0.261904761904762	0.305194805194805	1975	1
0.305194805194805	0.348484848484849	1980	1
0.348484848484849	0.391774891774892	1985	1
0.391774891774892	0.435064935064935	1990	1
0.435064935064935	0.478354978354978	1995	1
0.478354978354978	0.521645021645022	2000	1
0.521645021645022	0.564935064935065	2005	1
0.564935064935065	0.608225108225108	2010	1
0.608225108225108	0.651515151515151	2015	1
0.651515151515151	0.694805194805195	2020	1
0.694805194805195	0.738095238095238	2025	1
0.738095238095238	0.781385281385281	2030	1
0.781385281385281	0.824675324675325	2035	1
0.824675324675325	0.867965367965368	2040	1
0.867965367965368	0.911255411255411	2045	1
0.911255411255411	0.954545454545455	2050	1
