colour	y	x	PANEL	fill
#F8766D	0.374805194805195	0.747727272727273	1	#F8766D
#F8766D	0.315324675324675	0.416515151515152	1	#F8766D
#F8766D	0.401168831168831	0.69469696969697	1	#F8766D
#F8766D	0.387662337662338	0.460454545454545	1	#F8766D
#F8766D	0.333506493506494	0.390606060606061	1	#F8766D
#F8766D	0.278961038961039	0.640454545454545	2	#F8766D
#F8766D	0.36974025974026	0.517424242424242	2	#F8766D
#F8766D	0.269090909090909	0.762424242424242	2	#F8766D
#F8766D	0.345454545454546	0.601969696969697	2	#F8766D
#F8766D	0.288051948051948	0.602727272727273	2	#F8766D
#F8766D	0.378701298701299	0.508787878787879	2	#F8766D
#00BFC4	0.352857142857143	0.186060606060606	2	#00BFC4
#F8766D	0.385584415584416	0.585909090909091	2	#F8766D
#F8766D	0.594545454545454	0.54530303030303	2	#F8766D
#00BFC4	0.227532467532468	0.322272727272727	2	#00BFC4
