colour	y	x	PANEL	fill
#00BFC4	0.294025974025974	0.589090909090909	1	#00BFC4
#F8766D	0.243246753246753	0.686363636363636	1	#F8766D
#F8766D	0.311298701298701	0.711060606060606	1	#F8766D
#F8766D	0.249350649350649	0.376818181818182	1	#F8766D
#F8766D	0.387532467532468	0.470606060606061	1	#F8766D
#F8766D	0.364545454545455	0.625909090909091	1	#F8766D
#F8766D	0.535844155844156	0.544242424242424	1	#F8766D
#F8766D	0.517922077922078	0.578181818181818	1	#F8766D
#F8766D	0.582207792207792	0.488787878787879	1	#F8766D
#F8766D	0.440519480519481	0.655606060606061	1	#F8766D
#F8766D	0.221688311688312	0.709393939393939	2	#F8766D
#F8766D	0.42987012987013	0.686060606060606	2	#F8766D
#F8766D	0.244415584415584	0.698484848484848	2	#F8766D
#F8766D	0.0793506493506494	0.839393939393939	2	#F8766D
#00BFC4	0.435064935064935	0.387272727272727	2	#00BFC4
#00BFC4	0.300519480519481	0.38969696969697	2	#00BFC4
#F8766D	0.478181818181818	0.501818181818182	2	#F8766D
#F8766D	0.446363636363636	0.605757575757576	2	#F8766D
#00BFC4	0.38961038961039	0.295454545454545	2	#00BFC4
#F8766D	0.392597402597403	0.37030303030303	2	#F8766D
#F8766D	0.491038961038961	0.583333333333333	2	#F8766D
#00BFC4	0.375714285714286	0.637272727272727	2	#00BFC4
#F8766D	0.372207792207792	0.705606060606061	2	#F8766D
#F8766D	0.399090909090909	0.528939393939394	2	#F8766D
#00BFC4	0.57038961038961	0.472272727272727	2	#00BFC4
