colour	x	y	group	clickSelects
#00C094	0.860205831903944	0.812365765007823	104	United Arab Emirates
#00C094	0.877358490566037	0.8152156369536	104	United Arab Emirates
#00C094	0.894511149228129	0.817992542448709	104	United Arab Emirates
#00C094	0.911663807890222	0.820704462198686	104	United Arab Emirates
#00C094	0.928816466552314	0.823336574893241	104	United Arab Emirates
#00C094	0.945969125214407	NA	104	United Arab Emirates
#A58AFF	0.0540308747855932	0.112663107094645	186	Afghanistan
#A58AFF	0.0711835334476857	0.118010559841553	186	Afghanistan
#A58AFF	0.0883361921097783	0.123568931234934	186	Afghanistan
#A58AFF	0.105488850771871	0.129369003996166	186	Afghanistan
#A58AFF	0.122641509433963	0.135395576781361	186	Afghanistan
#A58AFF	0.139794168096056	0.141609886163596	186	Afghanistan
#A58AFF	0.156946826758149	0.147949226599327	186	Afghanistan
#A58AFF	0.174099485420241	0.15437521469523	186	Afghanistan
#A58AFF	0.191252144082334	0.160824764874163	186	Afghanistan
#A58AFF	0.208404802744426	0.167282295758639	186	Afghanistan
#A58AFF	0.225557461406519	0.17380253218666	186	Afghanistan
#A58AFF	0.242710120068611	0.180431458223495	186	Afghanistan
#A58AFF	0.259862778730704	0.187216578068801	186	Afghanistan
#A58AFF	0.277015437392797	0.194141550277893	186	Afghanistan
#A58AFF	0.294168096054889	0.201144049340826	186	Afghanistan
#A58AFF	0.311320754716982	0.208099424237699	186	Afghanistan
#A58AFF	0.328473413379074	0.214859461865585	186	Afghanistan
#A58AFF	0.345626072041167	0.221330673959561	186	Afghanistan
#A58AFF	0.362778730703259	0.22741197158276	186	Afghanistan
#A58AFF	0.379931389365352	0.233103354735179	186	Afghanistan
#A58AFF	0.397084048027445	0.23843636620539	186	Afghanistan
#A58AFF	0.414236706689537	0.243466490898594	186	Afghanistan
#A58AFF	0.43138936535163	0.24834156188412	186	Afghanistan
#A58AFF	0.448542024013722	0.253162668098835	186	Afghanistan
#A58AFF	0.465694682675815	0.257984154347149	186	Afghanistan
#A58AFF	0.482847341337907	0.262844023988785	186	Afghanistan
#A58AFF	0.5	0.267741136922951	186	Afghanistan
#A58AFF	0.517152658662093	0.272635589621936	186	Afghanistan
#A58AFF	0.534305317324185	0.277495839297169	186	Afghanistan
