fill	y	x	clickSelects	PANEL	group	xmin	xmax	ymin	ymax
#F8766D	0.845303867403315	NA	American Samoa	1	189	NA	NA	0.832872928176796	0.857734806629834
#F8766D	0.0441988950276243	0.896310265181417	Australia	1	10	0.0454545454545454	0.896310265181417	0.031767955801105	0.0566298342541436
#F8766D	0.18232044198895	0.865207464523314	Brunei Darussalam	1	60	0.0454545454545454	0.865207464523314	0.169889502762431	0.19475138121547
#F8766D	0.707182320441989	0.814807579345778	China	1	142	0.0454545454545454	0.814807579345778	0.69475138121547	0.719613259668508
#F8766D	0.403314917127072	0.77384626016325	Fiji	1	91	0.0454545454545454	0.77384626016325	0.390883977900552	0.415745856353591
#F8766D	0.348066298342541	0.774145542788645	Micronesia, Fed. Sts.	1	84	0.0454545454545454	0.774145542788645	0.335635359116022	0.360497237569061
#F8766D	0.237569060773481	0.845053995795159	Guam	1	66	0.0454545454545454	0.845053995795159	0.225138121546961	0.25
#F8766D	0.0994475138121547	0.913188104180123	Hong Kong SAR, China	1	40	0.0454545454545454	0.913188104180123	0.0870165745856353	0.111878453038674
#F8766D	0.624309392265193	0.746466950001728	Indonesia	1	134	0.0454545454545454	0.746466950001728	0.611878453038674	0.636740331491713
#F8766D	0.0718232044198895	0.919436891500745	Japan	1	37	0.0454545454545454	0.919436891500745	0.0593922651933702	0.0842541436464088
#F8766D	0.762430939226519	0.658518258632283	Cambodia	1	147	0.0454545454545454	0.658518258632283	0.75	0.774861878453039
#F8766D	0.87292817679558	NA	Kiribati	1	197	NA	NA	0.860497237569061	0.885359116022099
#F8766D	0.458563535911602	0.756757115936135	Korea, Dem. Rep.	1	93	0.0454545454545454	0.756757115936135	0.446132596685083	0.470994475138122
#F8766D	0.486187845303867	0.849920129281589	Korea, Rep.	1	99	0.0454545454545454	0.849920129281589	0.473756906077348	0.498618784530387
#F8766D	0.679558011049724	0.687269325125654	Lao PDR	1	140	0.0454545454545454	0.687269325125654	0.667127071823204	0.691988950276243
#F8766D	0.900552486187845	NA	Marshall Islands	1	204	NA	NA	0.888121546961326	0.912983425414365
#F8766D	0.734806629834254	0.70504129090218	Myanmar	1	144	0.0454545454545454	0.70504129090218	0.722375690607735	0.747237569060773
#F8766D	0.569060773480663	0.715640839586107	Mongolia	1	113	0.0454545454545454	0.715640839586107	0.556629834254144	0.581491712707182
#F8766D	0.154696132596685	0.891410641809729	Macao SAR, China	1	47	0.0454545454545454	0.891410641809729	0.142265193370166	0.167127071823204
#F8766D	0.92817679558011	NA	Northern Mariana Islands	1	205	NA	NA	0.915745856353591	0.94060773480663
#F8766D	0.265193370165746	0.823193074504363	Malaysia	1	75	0.0454545454545454	0.823193074504363	0.252762430939227	0.277624309392265
#F8766D	0.292817679558011	0.830048135065239	New Caledonia	1	78	0.0454545454545454	0.830048135065239	0.280386740331492	0.30524861878453
#F8766D	0.0165745856353591	0.882249829228165	New Zealand	1	7	0.0454545454545454	0.882249829228165	0.00414364640883978	0.0290055248618784
#F8766D	0.375690607734807	0.820816090029316	French Polynesia	1	88	0.0454545454545454	0.820816090029316	0.363259668508287	0.388121546961326
#F8766D	0.790055248618785	0.673486908378585	Papua New Guinea	1	166	0.0454545454545454	0.673486908378585	0.777624309392265	0.802486187845304
#F8766D	0.320441988950276	0.766658161298983	Philippines	1	82	0.0454545454545454	0.766658161298983	0.308011049723757	0.332872928176796
#F8766D	0.955801104972376	NA	Palau	1	207	NA	NA	0.943370165745856	0.968232044198895
#F8766D	0.541436464088398	0.702536725911869	Solomon Islands	1	110	0.0454545454545454	0.702536725911869	0.529005524861878	0.553867403314917
#F8766D	0.12707182320442	0.881797981569931	Singapore	1	44	0.0454545454545454	0.881797981569931	0.114640883977901	0.139502762430939
#F8766D	0.430939226519337	0.83284188255682	Thailand	1	92	0.0454545454545454	0.83284188255682	0.418508287292818	0.443370165745856
#F8766D	0.81767955801105	0.615554722738303	Timor-Leste	1	181	0.0454545454545454	0.615554722738303	0.80524861878453	0.830110497237569
#F8766D	0.209944751381215	0.810878896853812	Tonga	1	65	0.0454545454545454	0.810878896853812	0.197513812154696	0.222375690607735
#F8766D	0.983425414364641	NA	Tuvalu	1	214	NA	NA	0.970994475138121	0.99585635359116
#F8766D	0.651933701657459	0.808169139868114	Vietnam	1	138	0.0454545454545454	0.808169139868114	0.639502762430939	0.664364640883978
#F8766D	0.596685082872928	0.763594368383423	Vanuatu	1	127	0.0454545454545454	0.763594368383423	0.584254143646409	0.609116022099447
#F8766D	0.513812154696133	0.785986343569011	Samoa	1	109	0.0454545454545454	0.785986343569011	0.501381215469613	0.526243093922652
#C49A00	0.84965034965035	NA	Andorra	2	188	NA	NA	0.841783216783217	0.857517482517482
#C49A00	0.657342657342657	0.833634680142254	Albania	2	61	0.0454545454545455	0.833634680142254	0.649475524475524	0.66520979020979
#C49A00	0.56993006993007	0.798594416716923	Armenia	2	42	0.0454545454545455	0.798594416716923	0.562062937062937	0.577797202797203
#C49A00	0.43006993006993	0.885378257699473	Austria	2	30	0.0454545454545455	0.885378257699473	0.422202797202797	0.437937062937063
#C49A00	0.692307692307692	0.754566099664504	Azerbaijan	2	69	0.0454545454545455	0.754566099664504	0.684440559440559	0.700174825174825
#C49A00	0.727272727272727	0.806065390354431	Bosnia and Herzegovina	2	72	0.0454545454545455	0.806065390354431	0.719405594405594	0.73513986013986
#C49A00	0.255244755244755	0.887600256982578	Belgium	2	19	0.0454545454545455	0.887600256982578	0.247377622377622	0.263111888111888
#C49A00	0.325174825174825	0.818973742596933	Bulgaria	2	23	0.0454545454545455	0.818973742596933	0.317307692307692	0.333041958041958
#C49A00	0.482517482517482	0.794042112317391	Belarus	2	33	0.0454545454545455	0.794042112317391	0.47465034965035	0.490384615384615
#C49A00	0.0979020979020979	0.906243762344781	Switzerland	2	6	0.0454545454545455	0.906243762344781	0.090034965034965	0.105769230769231
#C49A00	0.307692307692308	0.889983517531021	Cyprus	2	22	0.0454545454545455	0.889983517531021	0.299825174825175	0.315559440559441
#C49A00	0.15034965034965	0.849711842859394	Czech Republic	2	12	0.0454545454545455	0.849711842859394	0.142482517482517	0.158216783216783
#C49A00	0.29020979020979	0.881990706696606	Germany	2	21	0.0454545454545455	0.881990706696606	0.282342657342657	0.298076923076923
#C49A00	0.0804195804195804	0.870188830264782	Denmark	2	5	0.0454545454545455	0.870188830264782	0.0725524475524475	0.0882867132867133
#C49A00	0.447552447552448	0.804952527958988	Estonia	2	31	0.0454545454545455	0.804952527958988	0.439685314685315	0.45541958041958
#C49A00	0.36013986013986	0.897781537530079	Spain	2	25	0.0454545454545455	0.897781537530079	0.352272727272727	0.368006993006993
#C49A00	0.395104895104895	0.882211576086424	Finland	2	28	0.0454545454545455	0.882211576086424	0.387237762237762	0.402972027972028
#C49A00	0.867132867132867	0.896679851657976	Faeroe Islands	2	193	0.0454545454545455	0.896679851657976	0.859265734265734	0.875
#C49A00	0.202797202797203	0.895961360871822	France	2	15	0.0454545454545455	0.895961360871822	0.19493006993007	0.210664335664336
#C49A00	0.115384615384615	0.88651453757239	United Kingdom	2	9	0.0454545454545455	0.88651453757239	0.107517482517482	0.123251748251748
#C49A00	0.604895104895105	0.816049485097286	Georgia	2	53	0.0454545454545455	0.816049485097286	0.597027972027972	0.612762237762238
#C49A00	0.884615384615385	NA	Greenland	2	194	NA	NA	0.876748251748252	0.892482517482518
#C49A00	0.412587412587413	0.89303417618749	Greece	2	29	0.0454545454545455	0.89303417618749	0.40472027972028	0.420454545454545
#C49A00	0.552447552447552	0.834990764974194	Croatia	2	41	0.0454545454545455	0.834990764974194	0.54458041958042	0.560314685314685
#C49A00	0.5	0.812770772143137	Hungary	2	34	0.0454545454545455	0.812770772143137	0.492132867132867	0.507867132867133
#C49A00	0.272727272727273	0.872304386468456	Ireland	2	20	0.0454545454545455	0.872304386468456	0.26486013986014	0.280594405594406
#C49A00	0.902097902097902	NA	Isle of Man	2	196	NA	NA	0.894230769230769	0.909965034965035
#C49A00	0.027972027972028	0.904953140006689	Iceland	2	2	0.0454545454545455	0.904953140006689	0.0201048951048951	0.0358391608391608
#C49A00	0.342657342657343	0.900088691276729	Italy	2	24	0.0454545454545455	0.900088691276729	0.33479020979021	0.350524475524476
#C49A00	0.132867132867133	0.881518631639333	Channel Islands	2	11	0.0454545454545455	0.881518631639333	0.125	0.140734265734266
#C49A00	0.797202797202797	0.771476179478185	Kyrgyz Republic	2	90	0.0454545454545455	0.771476179478185	0.789335664335664	0.80506993006993
#C49A00	0.91958041958042	0.794843096490104	Kosovo	2	199	0.0454545454545455	0.794843096490104	0.911713286713287	0.927447552447553
#C49A00	0.762237762237762	0.744918631160347	Kazakhstan	2	80	0.0454545454545455	0.744918631160347	0.754370629370629	0.770104895104895
#C49A00	0.937062937062937	NA	Liechtenstein	2	201	NA	NA	0.929195804195804	0.94493006993007
#C49A00	0.22027972027972	0.810362497471029	Lithuania	2	16	0.0454545454545455	0.810362497471029	0.212412587412587	0.228146853146853
#C49A00	0.465034965034965	0.880314228195581	Luxembourg	2	32	0.0454545454545455	0.880314228195581	0.457167832167832	0.472902097902098
#C49A00	0.237762237762238	0.79583567820579	Latvia	2	17	0.0454545454545455	0.79583567820579	0.229895104895105	0.245629370629371
#C49A00	0.954545454545454	NA	Monaco	2	202	NA	NA	0.946678321678322	0.962412587412587
#C49A00	0.674825174825175	0.772285945204951	Moldova	2	62	0.0454545454545455	0.772285945204951	0.666958041958042	0.682692307692308
#C49A00	0.63986013986014	0.871201902273258	Montenegro	2	58	0.0454545454545455	0.871201902273258	0.631993006993007	0.647727272727273
#C49A00	0.70979020979021	0.833734204421521	Macedonia, FYR	2	71	0.0454545454545455	0.833734204421521	0.701923076923077	0.717657342657343
#C49A00	0.0454545454545455	0.890309233354078	Netherlands	2	3	0.0454545454545455	0.890309233354078	0.0375874125874126	0.0533216783216783
#C49A00	0.0104895104895105	0.898108849999327	Norway	2	1	0.0454545454545455	0.898108849999327	0.00262237762237762	0.0183566433566434
#C49A00	0.517482517482518	0.833692159405146	Poland	2	36	0.0454545454545455	0.833692159405146	0.509615384615385	0.52534965034965
#C49A00	0.622377622377622	0.866583070949082	Portugal	2	57	0.0454545454545455	0.866583070949082	0.614510489510489	0.630244755244755
#C49A00	0.587412587412587	0.799417487828617	Romania	2	43	0.0454545454545455	0.799417487828617	0.579545454545454	0.59527972027972
#C49A00	0.972027972027972	NA	Serbia	2	208	NA	NA	0.964160839160839	0.979895104895105
#C49A00	0.534965034965035	0.767660195080612	Russian Federation	2	39	0.0454545454545455	0.767660195080612	0.527097902097902	0.542832167832168
#C49A00	0.0629370629370629	0.906930320207105	Sweden	2	4	0.0454545454545455	0.906930320207105	0.0550699300699301	0.0708041958041958
#C49A00	0.377622377622378	0.857828127665947	Slovenia	2	26	0.0454545454545455	0.857828127665947	0.369755244755245	0.38548951048951
