colour	y	x	clickSelects	PANEL	fill
#F8766D	0.414415584415585	0.597575757575758	593	1	#F8766D
#F8766D	0.331428571428571	0.617727272727273	594	1	#F8766D
#F8766D	0.436363636363636	0.671818181818182	595	1	#F8766D
#F8766D	0.31948051948052	0.551363636363636	596	1	#F8766D
#F8766D	0.317142857142857	0.638787878787879	597	1	#F8766D
#F8766D	0.233246753246753	0.662121212121212	588	2	#F8766D
#F8766D	0.36	0.563333333333333	589	2	#F8766D
#00BFC4	0.312207792207792	0.302424242424242	590	2	#00BFC4
#00BFC4	0.148051948051948	0.38	591	2	#00BFC4
#F8766D	0.318701298701299	0.365454545454545	592	2	#F8766D
#F8766D	0.253896103896104	0.613333333333333	601	2	#F8766D
#F8766D	0.465714285714286	0.674242424242424	602	2	#F8766D
#00BFC4	0.358181818181818	0.368484848484848	603	2	#00BFC4
