colour	y	x	PANEL	fill
#F8766D	0.404155844155844	0.409848484848485	1	#F8766D
#F8766D	0.424025974025974	0.634848484848485	1	#F8766D
#F8766D	0.52	0.498636363636364	1	#F8766D
#F8766D	0.653766233766234	0.452121212121212	1	#F8766D
#F8766D	0.463636363636364	0.56469696969697	1	#F8766D
#F8766D	0.380779220779221	0.399242424242424	1	#F8766D
#F8766D	0.471948051948052	0.188030303030303	1	#F8766D
#F8766D	0.271818181818182	0.382575757575758	1	#F8766D
#F8766D	0.341168831168831	0.573939393939394	2	#F8766D
#00BFC4	0.240649350649351	0.327424242424242	2	#00BFC4
#F8766D	0.289220779220779	0.600151515151515	2	#F8766D
#F8766D	0.402337662337662	0.562121212121212	2	#F8766D
#00BFC4	0.271428571428571	0.317424242424242	2	#00BFC4
#F8766D	0.401428571428571	0.521363636363636	2	#F8766D
