y	x	group	xmin	xmax	ymin	ymax
0.887323943661972	0.246982076229709	13	0.0454545454545455	0.246982076229709	0.855633802816901	0.919014084507042
0.816901408450704	0.2166356735493	12	0.0454545454545455	0.2166356735493	0.785211267605634	0.848591549295775
0.676056338028169	0.128617571917918	10	0.0454545454545455	0.128617571917918	0.644366197183099	0.707746478873239
0.535211267605634	0.118645126678572	8	0.0454545454545455	0.118645126678572	0.503521126760563	0.566901408450704
0.323943661971831	0.060282065861901	5	0.0454545454545455	0.060282065861901	0.292253521126761	0.355633802816901
0.253521126760563	0.0532313623186897	4	0.0454545454545455	0.0532313623186897	0.221830985915493	0.285211267605634
0.183098591549296	0.0521944068353563	3	0.0454545454545455	0.0521944068353563	0.151408450704225	0.214788732394366
0.0422535211267606	0.0457653876169458	1	0.0454545454545455	0.0457653876169458	0.0105633802816901	0.073943661971831
0.957746478873239	0.804659459401123	14	0.0454545454545455	0.804659459401123	0.926056338028169	0.98943661971831
0.746478873239437	0.173610927142806	11	0.0454545454545455	0.173610927142806	0.714788732394366	0.778169014084507
0.605633802816901	0.118379863057961	9	0.0454545454545455	0.118379863057961	0.573943661971831	0.637323943661972
0.464788732394366	0.10068560953939	7	0.0454545454545455	0.10068560953939	0.433098591549296	0.496478873239437
0.112676056338028	0.051923031149755	2	0.0454545454545455	0.051923031149755	0.0809859154929577	0.144366197183099
0.394366197183099	0.0950293299662724	6	0.0454545454545455	0.0950293299662724	0.362676056338028	0.426056338028169
