fill	ymin	ymax	xmin	xmax	clickSelects
#F8766D	0.0454545454545455	0.0456661198711984	0.0454545454545455	0.954545454545454	Lesser Antilles
#E38900	0.0456661198711984	0.0490052154733069	0.0454545454545455	0.954545454545454	Oceania
#C49A00	0.0490052154733069	0.0528787438088205	0.0454545454545455	0.954545454545454	Greater Antilles
#99A800	0.0528787438088205	0.0557262230134372	0.0454545454545455	0.954545454545454	Isthmic Central America
#53B400	0.0557262230134372	0.0626586121038426	0.0454545454545455	0.954545454545454	Central America
#00BC56	0.0626586121038426	0.10711681949302	0.0454545454545455	0.954545454545454	(Former) Soviet Union
#00C094	0.10711681949302	0.16363457576504	0.0454545454545455	0.954545454545454	Eastern Europe
#00BFC4	0.16363457576504	0.196205271080541	0.0454545454545455	0.954545454545454	South America
#00B6EB	0.196205271080541	0.262030951620646	0.0454545454545455	0.954545454545454	Western Europe
#06A4FF	0.262030951620646	0.311941684381926	0.0454545454545455	0.954545454545454	North America
#A58AFF	0.311941684381926	0.434285314060428	0.0454545454545455	0.954545454545454	Europe
#DF70F8	0.434285314060428	0.523699131227614	0.0454545454545455	0.954545454545454	The Americas
#FB61D7	0.523699131227614	0.585804419336328	0.0454545454545455	0.954545454545454	Africa
#FF66A8	0.585804419336328	0.954545454545454	0.0454545454545455	0.954545454545454	Asia
