fill	ymin	ymax	xmin	xmax	clickSelects
#F8766D	0.0454545454545455	0.0456198183828398	0.0454545454545455	0.954545454545454	Lesser Antilles
#E38900	0.0456198183828398	0.0493288744758154	0.0454545454545455	0.954545454545454	Oceania
#C49A00	0.0493288744758154	0.0529447594665812	0.0454545454545455	0.954545454545454	Greater Antilles
#99A800	0.0529447594665812	0.0575222324037868	0.0454545454545455	0.954545454545454	Isthmic Central America
#53B400	0.0575222324037868	0.0658808632600525	0.0454545454545455	0.954545454545454	Central America
#00BC56	0.0658808632600525	0.0897185904585193	0.0454545454545455	0.954545454545454	(Former) Soviet Union
#00C094	0.0897185904585193	0.114936959689639	0.0454545454545455	0.954545454545454	Eastern Europe
#00BFC4	0.114936959689639	0.156084996913869	0.0454545454545455	0.954545454545454	South America
#00B6EB	0.156084996913869	0.193127029428943	0.0454545454545455	0.954545454545454	Western Europe
#06A4FF	0.193127029428943	0.2397109398935	0.0454545454545455	0.954545454545454	North America
#A58AFF	0.2397109398935	0.301971255290202	0.0454545454545455	0.954545454545454	Europe
#DF70F8	0.301971255290202	0.398061833835254	0.0454545454545455	0.954545454545454	The Americas
#FB61D7	0.398061833835254	0.53478399329099	0.0454545454545455	0.954545454545454	Africa
#FF66A8	0.53478399329099	0.954545454545454	0.0454545454545455	0.954545454545454	Asia
