fill	ymin	ymax	xmin	xmax	clickSelects
#F8766D	0.0454545454545455	0.045631088838308	0.0454545454545455	0.954545454545454	Lesser Antilles
#E38900	0.045631088838308	0.0491330343635998	0.0454545454545455	0.954545454545454	Oceania
#C49A00	0.0491330343635998	0.0530267728794097	0.0454545454545455	0.954545454545454	Greater Antilles
#99A800	0.0530267728794097	0.0571386639686996	0.0454545454545455	0.954545454545454	Isthmic Central America
#53B400	0.0571386639686996	0.0653208369575618	0.0454545454545455	0.954545454545454	Central America
#00BC56	0.0653208369575618	0.0961230341808204	0.0454545454545455	0.954545454545454	(Former) Soviet Union
#00C094	0.0961230341808204	0.131480738815783	0.0454545454545455	0.954545454545454	Eastern Europe
#00BFC4	0.131480738815783	0.171574794937656	0.0454545454545455	0.954545454545454	South America
#00B6EB	0.171574794937656	0.214823193198887	0.0454545454545455	0.954545454545454	Western Europe
#06A4FF	0.214823193198887	0.261529347380825	0.0454545454545455	0.954545454545454	North America
#A58AFF	0.261529347380825	0.340135450277018	0.0454545454545455	0.954545454545454	Europe
#DF70F8	0.340135450277018	0.435117941086978	0.0454545454545455	0.954545454545454	The Americas
#FB61D7	0.435117941086978	0.533141343299469	0.0454545454545455	0.954545454545454	Africa
#FF66A8	0.533141343299469	0.954545454545454	0.0454545454545455	0.954545454545454	Asia
