fill	ymin	ymax	xmin	xmax	clickSelects
#F8766D	0.0454545454545455	0.0456335081493408	0.0454545454545455	0.954545454545454	Lesser Antilles
#E38900	0.0456335081493408	0.0490737200529662	0.0454545454545455	0.954545454545454	Oceania
#C49A00	0.0490737200529662	0.0529732468576822	0.0454545454545455	0.954545454545454	Greater Antilles
#99A800	0.0529732468576822	0.0569642964093562	0.0454545454545455	0.954545454545454	Isthmic Central America
#53B400	0.0569642964093562	0.0650338354605416	0.0454545454545455	0.954545454545454	Central America
#00BC56	0.0650338354605416	0.0979024097825863	0.0454545454545455	0.954545454545454	(Former) Soviet Union
#00C094	0.0979024097825863	0.136013524997919	0.0454545454545455	0.954545454545454	Eastern Europe
#00BFC4	0.136013524997919	0.175580498333078	0.0454545454545455	0.954545454545454	South America
#00B6EB	0.175580498333078	0.22010693848915	0.0454545454545455	0.954545454545454	Western Europe
#06A4FF	0.22010693848915	0.26697531758535	0.0454545454545455	0.954545454545454	North America
#A58AFF	0.26697531758535	0.349612872956753	0.0454545454545455	0.954545454545454	Europe
#DF70F8	0.349612872956753	0.444117764439298	0.0454545454545455	0.954545454545454	The Americas
#FB61D7	0.444117764439298	0.535645728307343	0.0454545454545455	0.954545454545454	Africa
#FF66A8	0.535645728307343	0.954545454545454	0.0454545454545455	0.954545454545454	Asia
