colour	y	x	showSelected	PANEL	fill
#F8766D	0.516250025974026	0.545892424242424	1	1	#F8766D
#F8766D	0.398578337662338	0.50513096969697	2	1	#F8766D
#F8766D	0.37658174025974	0.56781603030303	3	1	#F8766D
#F8766D	0.370980961038961	0.623833545454545	4	1	#F8766D
#F8766D	0.32753051948052	0.454280878787879	5	1	#F8766D
#F8766D	0.394124727272727	0.593597333333333	6	1	#F8766D
#F8766D	0.200807896103896	0.408426818181818	7	1	#F8766D
#F8766D	0.230100291384058	0.567691371371414	8	1	#F8766D
#F8766D	0.368789792207792	0.538626242424242	9	1	#F8766D
#F8766D	0.306885818181818	0.549186666666667	10	1	#F8766D
#F8766D	0.412747272727273	0.507781545454545	11	1	#F8766D
#F8766D	0.355222233766234	0.448462454545455	12	1	#F8766D
#F8766D	0.33804017469449	0.629417691490093	13	1	#F8766D
#F8766D	0.497987974025974	0.532775333333333	14	1	#F8766D
#00BFC4	0.487928207792208	0.24646696969697	15	1	#00BFC4
#F8766D	0.443261818181818	0.539006909090909	16	1	#F8766D
#F8766D	0.470532727272727	0.473683060606061	17	1	#F8766D
#00BFC4	0.397597298701299	0.246894212121212	18	1	#00BFC4
#F8766D	0.509884597402598	0.575487878787879	19	1	#F8766D
#F8766D	0.28368625974026	0.621254212121212	20	1	#F8766D
#F8766D	0.334071220779221	0.62810596969697	21	1	#F8766D
#F8766D	0.40736361038961	0.528862212121212	22	1	#F8766D
#F8766D	0.327073402597403	0.688544212121212	23	1	#F8766D
#F8766D	0.403464857142857	0.703796090909091	24	1	#F8766D
#F8766D	0.390679617116014	0.512602055483127	25	1	#F8766D
#00BFC4	0.321347030450468	0.358640294207482	26	1	#00BFC4
#F8766D	0.27821774025974	0.715092515151515	27	1	#F8766D
#00BFC4	0.307963502645201	0.217779695324835	28	1	#00BFC4
#F8766D	0.29700147423148	0.572044911356865	29	1	#F8766D
#F8766D	0.328657441692773	0.575921157915426	30	1	#F8766D
#F8766D	0.503377922077922	0.21624896969697	31	1	#F8766D
#F8766D	0.468460181818182	0.582304303030303	32	1	#F8766D
#F8766D	0.286230805194805	0.336134757575758	33	1	#F8766D
#F8766D	0.394899159841114	0.380552727186089	34	1	#F8766D
#F8766D	0.382414597402597	0.458533333333333	35	1	#F8766D
#F8766D	0.321756987012987	0.586650060606061	36	1	#F8766D
#F8766D	0.628788779220779	0.486000090909091	37	1	#F8766D
#F8766D	0.409864311688312	0.58394796969697	38	1	#F8766D
#F8766D	0.397860713804269	0.555241177072429	39	1	#F8766D
#00BFC4	0.313627594688844	0.376046327776174	40	1	#00BFC4
#F8766D	0.416034233766234	0.338043484848485	41	1	#F8766D
#F8766D	0.431502597402597	0.668819666666667	42	1	#F8766D
#F8766D	0.377930441558442	0.58040703030303	43	1	#F8766D
#00BFC4	0.404962279296724	0.354788752533352	44	1	#00BFC4
#00BFC4	0.274909923947243	0.415860124456513	45	1	#00BFC4
#F8766D	0.240460835181818	0.433689103179962	46	1	#F8766D
#00BFC4	0.324015532467532	0.469292696969697	47	1	#00BFC4
#F8766D	0.443181392648231	0.538967520787243	48	1	#F8766D
#00BFC4	0.489982079020581	0.584167483940011	49	1	#00BFC4
#F8766D	0.449091766233766	0.523289909090909	50	1	#F8766D
#F8766D	0.456438805194805	0.500902272727273	51	1	#F8766D
#F8766D	0.338709064935065	0.566125787878788	52	1	#F8766D
#F8766D	0.362028594494588	0.225494031958836	53	1	#F8766D
#F8766D	0.342326290430202	0.625237713694505	54	1	#F8766D
#00BFC4	0.470769809408083	0.264190824411021	55	1	#00BFC4
#F8766D	0.341321246753247	0.654370939393939	56	1	#F8766D
#F8766D	0.396110675324675	0.545654393939394	57	1	#F8766D
#F8766D	0.423383116883117	0.577331606060606	58	1	#F8766D
#F8766D	0.412028	0.534704121212121	59	1	#F8766D
#F8766D	0.549587974025974	0.667850848484849	60	1	#F8766D
#F8766D	0.453884909090909	0.651453515151515	61	1	#F8766D
#F8766D	0.42393161038961	0.437529181818182	62	1	#F8766D
#F8766D	0.403892363636364	0.596041909090909	63	1	#F8766D
#F8766D	0.358074441558442	0.664468515151515	64	1	#F8766D
#F8766D	0.272442441558442	0.454700848484849	65	1	#F8766D
#F8766D	0.414418233766234	0.63306596969697	66	1	#F8766D
#F8766D	0.473264051948052	0.334949181818182	67	1	#F8766D
#F8766D	0.284692181818182	0.622554333333333	68	1	#F8766D
#F8766D	0.542212181818182	0.517074363636364	69	1	#F8766D
#F8766D	0.532930488496219	0.387306223837067	70	1	#F8766D
#F8766D	0.233013480519481	0.619726878787879	71	1	#F8766D
#F8766D	0.436144727272727	0.662068060606061	72	1	#F8766D
#F8766D	0.622310467532467	0.49763296969697	73	1	#F8766D
#F8766D	0.413073350649351	0.638402454545455	74	1	#F8766D
#F8766D	0.627694857142857	0.456719848484849	75	1	#F8766D
#F8766D	0.589479272727273	0.421794151515152	76	1	#F8766D
#F8766D	0.379724181818182	0.340154121212121	77	1	#F8766D
#F8766D	0.365327090909091	0.511149515151515	78	1	#F8766D
#F8766D	0.369687714285714	0.388350393939394	79	1	#F8766D
