colour	y	x	clickSelects	PANEL	fill
#F8766D	0.53948051948052	0.609090909090909	613	1	#F8766D
#F8766D	0.503116883116883	0.498787878787879	644	1	#F8766D
#F8766D	0.314675324675325	0.710757575757576	608	2	#F8766D
#00BFC4	0.377662337662338	0.561818181818182	609	2	#00BFC4
#F8766D	0.364805194805195	0.600606060606061	610	2	#F8766D
#F8766D	0.119350649350649	0.728181818181818	611	2	#F8766D
#F8766D	0.351948051948052	0.404090909090909	612	2	#F8766D
#00BFC4	0.486883116883117	0.33469696969697	616	2	#00BFC4
#00BFC4	0.391948051948052	0.398333333333333	617	2	#00BFC4
#00BFC4	0.649220779220779	0.581363636363636	1373	3	#00BFC4
#00BFC4	0.334415584415584	0.610909090909091	1374	3	#00BFC4
#00BFC4	0.517532467532468	0.454242424242424	1375	4	#00BFC4
#00BFC4	0.541688311688312	0.508181818181818	1376	4	#00BFC4
