colour	y	x	showSelected	PANEL	fill
#F8766D	0.779346909090909	0.249187878787879	1	1	#F8766D
#F8766D	0.746329766233766	0.236110060606061	2	1	#F8766D
#F8766D	0.732229402597403	0.239885575757576	3	1	#F8766D
#F8766D	0.73422212987013	0.256696727272727	4	1	#F8766D
#F8766D	0.726696103896104	0.212523151515151	5	1	#F8766D
#F8766D	0.754324987012987	0.271953696969697	6	1	#F8766D
#F8766D	0.696987636363636	0.194629090909091	7	1	#F8766D
#F8766D	0.701430025974026	0.264357818181818	8	1	#F8766D
#F8766D	0.737672519480519	0.251790787878788	9	1	#F8766D
#F8766D	0.728727896103896	0.259786666666667	10	1	#F8766D
#F8766D	0.759068051948052	0.255184727272727	11	1	#F8766D
#F8766D	0.750985350649351	0.191042909090909	12	1	#F8766D
#F8766D	0.728460675324675	0.27604096969697	13	1	#F8766D
#F8766D	0.775549922077922	0.259958060606061	14	1	#F8766D
#00BFC4	0.792701714285714	0.211544242424242	15	1	#00BFC4
#F8766D	0.767207272727273	0.238005090909091	16	1	#F8766D
#F8766D	0.785521038961039	0.245063515151515	17	1	#F8766D
#00BFC4	0.770482493506494	0.204627393939394	18	1	#00BFC4
#F8766D	0.795449142857143	0.284624242424242	19	1	#F8766D
#F8766D	0.690321454545455	0.265241939393939	20	1	#F8766D
#F8766D	0.709224727272727	0.249346424242424	21	1	#F8766D
#F8766D	0.742445298701299	0.227508121212121	22	1	#F8766D
#F8766D	0.724546909090909	0.282300121212121	23	1	#F8766D
#F8766D	0.735657974025974	0.292726545454545	24	1	#F8766D
#F8766D	0.745156155844156	0.246317090909091	25	1	#F8766D
#00BFC4	0.736784415584416	0.230506424242424	26	1	#00BFC4
#F8766D	0.702281766233766	0.318465696969697	27	1	#F8766D
#00BFC4	0.717426701298701	0.204841212121212	28	1	#00BFC4
#F8766D	0.708728311688312	0.264315393939394	29	1	#F8766D
#F8766D	0.715193350649351	0.287686787878788	30	1	#F8766D
#F8766D	0.772774025974026	0.140390787878788	31	1	#F8766D
#F8766D	0.765759792207792	0.291301575757576	32	1	#F8766D
#F8766D	0.714764051948052	0.16180703030303	33	1	#F8766D
#F8766D	0.744232311688312	0.18782303030303	34	1	#F8766D
#F8766D	0.744999272727273	0.187987878787879	35	1	#F8766D
#F8766D	0.729331532467533	0.262724606060606	36	1	#F8766D
#F8766D	0.815870337662338	0.222350545454545	37	1	#F8766D
#F8766D	0.755539116883117	0.255734787878788	38	1	#F8766D
#F8766D	0.747246545454545	0.256049454545455	39	1	#F8766D
#00BFC4	0.733075324675325	0.225218181818182	40	1	#00BFC4
#F8766D	0.752628779220779	0.173859393939394	41	1	#F8766D
#F8766D	0.757703896103896	0.291089212121212	42	1	#F8766D
#F8766D	0.739003428571429	0.257963393939394	43	1	#F8766D
#00BFC4	0.740813714285714	0.19892703030303	44	1	#00BFC4
#00BFC4	0.699017974025974	0.21816703030303	45	1	#00BFC4
#F8766D	0.689182753246753	0.191067393939394	46	1	#F8766D
#00BFC4	0.741243844155844	0.269821333333333	47	1	#00BFC4
#F8766D	0.754458805194805	0.255476121212121	48	1	#F8766D
#00BFC4	0.764528207792208	0.282935757575758	49	1	#00BFC4
#F8766D	0.784889558441558	0.222162181818182	50	1	#F8766D
#F8766D	0.780422441558442	0.221254545454545	51	1	#F8766D
#F8766D	0.743842701298701	0.233856242424242	52	1	#F8766D
#F8766D	0.750335792207792	0.132345212121212	53	1	#F8766D
#F8766D	0.733009454545455	0.291545696969697	54	1	#F8766D
#00BFC4	0.781879272727273	0.187794424242424	55	1	#00BFC4
#F8766D	0.733688519480519	0.276160484848485	56	1	#F8766D
#F8766D	0.753257558441559	0.221797575757576	57	1	#F8766D
#F8766D	0.764935064935065	0.231036606060606	58	1	#F8766D
#F8766D	0.767682285714286	0.233636848484849	59	1	#F8766D
#F8766D	0.810864207792208	0.270417212121212	60	1	#F8766D
#F8766D	0.780547116883117	0.272027151515151	61	1	#F8766D
#F8766D	0.767926025974026	0.196434181818182	62	1	#F8766D
#F8766D	0.753603532467533	0.236692363636364	63	1	#F8766D
#F8766D	0.754371324675325	0.269867151515152	64	1	#F8766D
#F8766D	0.728496207792208	0.219926303030303	65	1	#F8766D
#F8766D	0.770449662337662	0.270288242424242	66	1	#F8766D
#F8766D	0.778158337662338	0.167045090909091	67	1	#F8766D
#F8766D	0.727676467532468	0.273509333333333	68	1	#F8766D
#F8766D	0.800536727272727	0.232564363636364	69	1	#F8766D
#F8766D	0.808104727272727	0.200838545454545	70	1	#F8766D
#F8766D	0.718967896103896	0.262662787878788	71	1	#F8766D
#F8766D	0.771444987012987	0.266078060606061	72	1	#F8766D
#F8766D	0.814513454545455	0.230276606060606	73	1	#F8766D
#F8766D	0.768502441558441	0.257319272727273	74	1	#F8766D
#F8766D	0.834408103896104	0.208372121212121	75	1	#F8766D
#F8766D	0.818673038961039	0.206157333333333	76	1	#F8766D
#F8766D	0.751068467532468	0.158200484848485	77	1	#F8766D
#F8766D	0.751704103896104	0.219712242424242	78	1	#F8766D
#F8766D	0.75037174025974	0.167482666666667	79	1	#F8766D
#00BFC4	0.739871792207792	0.188338424242424	80	1	#00BFC4
#F8766D	0.784765090909091	0.234380848484848	81	1	#F8766D
#F8766D	0.699588571428571	0.253732121212121	82	1	#F8766D
#F8766D	0.753814441558442	0.30051296969697	83	1	#F8766D
#F8766D	0.739461194805195	0.244478060606061	84	1	#F8766D
#F8766D	0.700072727272727	0.286343757575758	85	1	#F8766D
#F8766D	0.756257662337662	0.282036363636364	86	1	#F8766D
#F8766D	0.705665454545455	0.277085333333333	87	1	#F8766D
#F8766D	0.66221651948052	0.318763878787879	88	1	#F8766D
#00BFC4	0.721884883116883	0.241810909090909	89	1	#00BFC4
#F8766D	0.713670233766234	0.262331151515152	90	1	#F8766D
#F8766D	0.730689454545455	0.285578424242424	91	1	#F8766D
#F8766D	0.709572779220779	0.171397818181818	92	1	#F8766D
#F8766D	0.747652779220779	0.192683151515152	93	1	#F8766D
#F8766D	0.737446233766234	0.250301090909091	94	1	#F8766D
#F8766D	0.778203844155844	0.235269090909091	95	1	#F8766D
#F8766D	0.776365298701299	0.242905212121212	96	1	#F8766D
#F8766D	0.810548155844156	0.232270303030303	97	1	#F8766D
#F8766D	0.727979428571429	0.254529696969697	98	1	#F8766D
#F8766D	0.78468987012987	0.238588848484848	99	1	#F8766D
#F8766D	0.741763532467533	0.224249212121212	100	1	#F8766D
#F8766D	0.70582212987013	0.295422545454545	101	1	#F8766D
#F8766D	0.679603532467532	0.183995878787879	102	1	#F8766D
#F8766D	0.76787574025974	0.203138181818182	103	1	#F8766D
#F8766D	0.681374545454545	0.300314181818182	104	1	#F8766D
#F8766D	0.736367376623377	0.163540848484849	105	1	#F8766D
#00BFC4	0.77031438961039	0.214125575757576	106	1	#00BFC4
#00BFC4	0.726128831168831	0.221425696969697	107	1	#00BFC4
#F8766D	0.769551168831169	0.243265454545455	108	1	#F8766D
#F8766D	0.760655168831169	0.261338666666667	109	1	#F8766D
#00BFC4	0.749063272727273	0.168966303030303	110	1	#00BFC4
#F8766D	0.74957838961039	0.156812848484848	111	1	#F8766D
#F8766D	0.753983376623377	0.271359272727273	112	1	#F8766D
#F8766D	0.786052779220779	0.270071272727273	113	1	#F8766D
#00BFC4	0.73570825974026	0.27704703030303	114	1	#00BFC4
#F8766D	0.745780571428571	0.288869333333333	115	1	#F8766D
#F8766D	0.747706805194805	0.235988606060606	116	1	#F8766D
#F8766D	0.734470649350649	0.263314424242424	117	1	#F8766D
#F8766D	0.688820155844156	0.274137454545455	118	1	#F8766D
#F8766D	0.731291636363636	0.249448242424242	119	1	#F8766D
#F8766D	0.708771116883117	0.264672727272727	120	1	#F8766D
#F8766D	0.711669194805195	0.272658909090909	121	1	#F8766D
#F8766D	0.744077714285714	0.212496484848485	122	1	#F8766D
#00BFC4	0.811142025974026	0.247746424242424	123	1	#00BFC4
#F8766D	0.759931636363636	0.235032242424242	124	1	#F8766D
#F8766D	0.761808415584416	0.265564363636364	125	1	#F8766D
#F8766D	0.81814025974026	0.182234424242424	126	1	#F8766D
#F8766D	0.807778909090909	0.212302060606061	127	1	#F8766D
#F8766D	0.783287896103896	0.228380848484848	128	1	#F8766D
#F8766D	0.756361350649351	0.20588	129	1	#F8766D
#F8766D	0.755024831168831	0.212098181818182	130	1	#F8766D
#F8766D	0.777399896103896	0.232323151515152	131	1	#F8766D
#F8766D	0.750961454545455	0.260892848484849	132	1	#F8766D
#F8766D	0.756574337662338	0.255636606060606	133	1	#F8766D
#00BFC4	0.704332051948052	0.197809696969697	134	1	#00BFC4
#00BFC4	0.69595761038961	0.200884848484848	135	1	#00BFC4
#00BFC4	0.708016831168831	0.177358787878788	136	1	#00BFC4
#F8766D	0.707744831168831	0.279444121212121	137	1	#F8766D
#F8766D	0.768250805194805	0.280249696969697	138	1	#F8766D
#F8766D	0.706214441558441	0.255185454545455	139	1	#F8766D
#F8766D	0.746038857142857	0.216789333333333	140	1	#F8766D
#F8766D	0.714429922077922	0.201015272727273	141	1	#F8766D
#F8766D	0.728926753246753	0.112930909090909	142	1	#F8766D
#F8766D	0.691480519480519	0.264794181818182	143	1	#F8766D
#F8766D	0.696942753246753	0.27637696969697	144	1	#F8766D
#F8766D	0.732361350649351	0.18429503030303	145	1	#F8766D
#F8766D	0.729881350649351	0.184729212121212	146	1	#F8766D
#F8766D	0.735667116883117	0.270556606060606	147	1	#F8766D
#F8766D	0.694679064935065	0.152962666666667	148	1	#F8766D
#F8766D	0.742369246753247	0.182654545454545	149	1	#F8766D
#F8766D	0.779090077922078	0.230685090909091	150	1	#F8766D
#F8766D	0.737637402597403	0.280020121212121	151	1	#F8766D
#F8766D	0.735859116883117	0.251366060606061	152	1	#F8766D
#F8766D	0.741080103896104	0.274548606060606	153	1	#F8766D
#F8766D	0.755271272727273	0.280704242424242	154	1	#F8766D
#F8766D	0.768912	0.277190060606061	155	1	#F8766D
#F8766D	0.768909922077922	0.134534787878788	156	1	#F8766D
#F8766D	0.725131636363636	0.277419151515152	157	1	#F8766D
#F8766D	0.744816207792208	0.173231757575758	158	1	#F8766D
#F8766D	0.785636363636363	0.249744727272727	159	1	#F8766D
#F8766D	0.72281412987013	0.272971151515151	160	1	#F8766D
#F8766D	0.770530285714286	0.267785212121212	161	1	#F8766D
#F8766D	0.801989194805195	0.184723636363636	162	1	#F8766D
#F8766D	0.733796987012987	0.130515878787879	163	1	#F8766D
#F8766D	0.751495064935065	0.243035393939394	164	1	#F8766D
#F8766D	0.759347948051948	0.254279757575758	165	1	#F8766D
#F8766D	0.776000623376623	0.180466666666667	166	1	#F8766D
#F8766D	0.763221818181818	0.240693818181818	167	1	#F8766D
#F8766D	0.775202077922078	0.135789090909091	168	1	#F8766D
#F8766D	0.755995220779221	0.239171393939394	169	1	#F8766D
#F8766D	0.784795012987013	0.235252848484848	170	1	#F8766D
#F8766D	0.749931220779221	0.268661575757576	171	1	#F8766D
#F8766D	0.722528623376623	0.280821575757576	172	1	#F8766D
#F8766D	0.786185350649351	0.139508848484849	173	1	#F8766D
#F8766D	0.704978909090909	0.122712727272727	174	1	#F8766D
#F8766D	0.774377558441558	0.254879515151515	175	1	#F8766D
#F8766D	0.777313662337663	0.250766060606061	176	1	#F8766D
#F8766D	0.706746597402597	0.29483903030303	177	1	#F8766D
#F8766D	0.763813194805195	0.260374545454545	178	1	#F8766D
#F8766D	0.696192207792208	0.261317333333333	179	1	#F8766D
