colour	y	x	clickSelects	PANEL	fill
#F8766D	0.405844155844156	0.539393939393939	59	1	#F8766D
#F8766D	0.541038961038961	0.677878787878788	60	1	#F8766D
#F8766D	0.445584415584416	0.659090909090909	61	1	#F8766D
#F8766D	0.226233766233766	0.623939393939394	71	1	#F8766D
#F8766D	0.426753246753247	0.671212121212121	72	1	#F8766D
#F8766D	0.618961038961039	0.500606060606061	73	1	#F8766D
#F8766D	0.404805194805195	0.645454545454546	74	1	#F8766D
#F8766D	0.614805194805195	0.466666666666667	75	1	#F8766D
#F8766D	0.576233766233766	0.431060606060606	76	1	#F8766D
#F8766D	0.354025974025974	0.667878787878788	64	2	#F8766D
#F8766D	0.266623376623377	0.457121212121212	65	2	#F8766D
#F8766D	0.403766233766234	0.642121212121212	66	2	#F8766D
#F8766D	0.461948051948052	0.341060606060606	67	2	#F8766D
#F8766D	0.274415584415584	0.629242424242424	68	2	#F8766D
#F8766D	0.534545454545455	0.523939393939394	69	2	#F8766D
#F8766D	0.532857142857143	0.387272727272727	70	2	#F8766D
