fill	colour	x	y
#F8766D	#F8766D	0.0454545454545455	0.0851260850804554
#F8766D	#F8766D	0.0909090909090909	0.0896502792493048
#F8766D	#F8766D	0.136363636363636	0.0951155365452731
#F8766D	#F8766D	0.181818181818182	0.101547706512312
#F8766D	#F8766D	0.227272727272727	0.10922537038423
#F8766D	#F8766D	0.272727272727273	0.118068883620201
#F8766D	#F8766D	0.318181818181818	0.128970928781974
#F8766D	#F8766D	0.363636363636364	0.142129394608047
#F8766D	#F8766D	0.409090909090909	0.155721713590721
#F8766D	#F8766D	0.454545454545455	0.17025666763224
#F8766D	#F8766D	0.5	0.186263299088218
#F8766D	#F8766D	0.545454545454545	0.204541895866684
#F8766D	#F8766D	0.590909090909091	0.224841472868589
#00BFC4	#00BFC4	0.636363636363636	0.246865982952051
#00BFC4	#00BFC4	0.681818181818182	0.270379287039886
#00BFC4	#00BFC4	0.727272727272727	0.295346453315942
#00BFC4	#00BFC4	0.772727272727273	0.321853239388871
#00BFC4	#00BFC4	0.818181818181818	0.349916063212265
#00BFC4	#00BFC4	0.863636363636364	0.379419999110985
#00BFC4	#00BFC4	0.909090909090909	0.410139038234532
#00BFC4	#00BFC4	0.954545454545455	0.441882103548557
#F8766D	#F8766D	0.0454545454545455	0.10318531005349
#F8766D	#F8766D	0.0909090909090909	0.109990027839784
#F8766D	#F8766D	0.136363636363636	0.117931776241806
#F8766D	#F8766D	0.181818181818182	0.126278209733943
#F8766D	#F8766D	0.227272727272727	0.134570149592883
#F8766D	#F8766D	0.272727272727273	0.143290702836001
#F8766D	#F8766D	0.318181818181818	0.152299618221448
#F8766D	#F8766D	0.363636363636364	0.161479699506038
#F8766D	#F8766D	0.409090909090909	0.171113021105192
#F8766D	#F8766D	0.454545454545455	0.181306125058172
#F8766D	#F8766D	0.5	0.19084792529901
#F8766D	#F8766D	0.545454545454545	0.199602013085633
#F8766D	#F8766D	0.590909090909091	0.208042238504136
#00BFC4	#00BFC4	0.636363636363636	0.216514601193498
#00BFC4	#00BFC4	0.681818181818182	0.224726721852532
#00BFC4	#00BFC4	0.727272727272727	0.232500098900704
#00BFC4	#00BFC4	0.772727272727273	0.239667758256812
#00BFC4	#00BFC4	0.818181818181818	0.246136955948971
#00BFC4	#00BFC4	0.863636363636364	0.251891274023592
#00BFC4	#00BFC4	0.909090909090909	0.25695254486577
#00BFC4	#00BFC4	0.954545454545455	0.261375960745022
#F8766D	#F8766D	0.0454545454545455	0.0792575399670191
#F8766D	#F8766D	0.0909090909090909	0.0826965772671251
#F8766D	#F8766D	0.136363636363636	0.086675485785851
#F8766D	#F8766D	0.181818181818182	0.0905043621542067
#F8766D	#F8766D	0.227272727272727	0.0939585947943385
#F8766D	#F8766D	0.272727272727273	0.0975997126508803
#F8766D	#F8766D	0.318181818181818	0.101235066757757
#F8766D	#F8766D	0.363636363636364	0.104810338140854
#F8766D	#F8766D	0.409090909090909	0.108599916216039
#F8766D	#F8766D	0.454545454545455	0.113232399014958
#F8766D	#F8766D	0.5	0.117485172972311
#F8766D	#F8766D	0.545454545454545	0.121178339234918
#F8766D	#F8766D	0.590909090909091	0.124700863575626
#00BFC4	#00BFC4	0.636363636363636	0.128482058014935
#00BFC4	#00BFC4	0.681818181818182	0.132274954612655
#00BFC4	#00BFC4	0.727272727272727	0.135983490874369
#00BFC4	#00BFC4	0.772727272727273	0.139530642145463
#00BFC4	#00BFC4	0.818181818181818	0.142891257518309
#00BFC4	#00BFC4	0.863636363636364	0.146085422787194
#00BFC4	#00BFC4	0.909090909090909	0.149150340336318
#00BFC4	#00BFC4	0.954545454545455	0.152135788003698
#F8766D	#F8766D	0.0454545454545455	0.0648743646666776
