y	x	group	xmin	xmax	ymin	ymax
0.887323943661972	0.0897921634211107	13	0.0454545454545455	0.0897921634211107	0.855633802816901	0.919014084507042
0.816901408450704	0.110128575320086	12	0.0454545454545455	0.110128575320086	0.785211267605634	0.848591549295775
0.676056338028169	0.0828396021786124	10	0.0454545454545455	0.0828396021786124	0.644366197183099	0.707746478873239
0.535211267605634	0.067865741472329	8	0.0454545454545455	0.067865741472329	0.503521126760563	0.566901408450704
0.323943661971831	0.0503323225782353	5	0.0454545454545455	0.0503323225782353	0.292253521126761	0.355633802816901
0.253521126760563	0.0473347912762112	4	0.0454545454545455	0.0473347912762112	0.221830985915493	0.285211267605634
0.183098591549296	0.0482874002626686	3	0.0454545454545455	0.0482874002626686	0.151408450704225	0.214788732394366
0.0422535211267606	0.0456193965788746	1	0.0454545454545455	0.0456193965788746	0.0105633802816901	0.073943661971831
0.957746478873239	0.31923646372754	14	0.0454545454545455	0.31923646372754	0.926056338028169	0.98943661971831
0.746478873239437	0.145762438109012	11	0.0454545454545455	0.145762438109012	0.714788732394366	0.778169014084507
0.605633802816901	0.100436237287756	9	0.0454545454545455	0.100436237287756	0.573943661971831	0.637323943661972
0.464788732394366	0.0907805716453726	7	0.0454545454545455	0.0907805716453726	0.433098591549296	0.496478873239437
0.112676056338028	0.0478878458426843	2	0.0454545454545455	0.0478878458426843	0.0809859154929577	0.144366197183099
0.394366197183099	0.0796145274284941	6	0.0454545454545455	0.0796145274284941	0.362676056338028	0.426056338028169
