colour	y	x	clickSelects	PANEL	fill
#F8766D	0.384155844155844	0.555151515151515	57	1	#F8766D
#F8766D	0.41038961038961	0.588484848484848	58	1	#F8766D
#F8766D	0.407012987012987	0.447121212121212	62	1	#F8766D
#F8766D	0.384545454545455	0.613030303030303	63	1	#F8766D
#F8766D	0.441168831168831	0.52969696969697	50	2	#F8766D
#F8766D	0.438831168831169	0.51530303030303	51	2	#F8766D
#F8766D	0.321688311688312	0.578484848484848	52	2	#F8766D
#F8766D	0.370649350649351	0.345	77	2	#F8766D
#F8766D	0.358441558441559	0.516060606060606	78	2	#F8766D
#F8766D	0.350649350649351	0.398636363636364	79	2	#F8766D
#00BFC4	0.340649350649351	0.400151515151515	80	2	#00BFC4
#F8766D	0.457142857142857	0.538181818181818	81	2	#F8766D
