colour	y	x	showSelected	clickSelects	PANEL	fill
#F8766D	0.537922077922078	0.50469696969697	2011_04_24	162	1	#F8766D
#F8766D	0.274415584415584	0.328181818181818	2011_04_24	163	1	#F8766D
#F8766D	0.363116883116883	0.660454545454546	2011_04_24	164	1	#F8766D
#F8766D	0.424675324675325	0.667727272727273	2011_04_24	165	1	#F8766D
#F8766D	0.441818181818182	0.505	2011_04_24	166	1	#F8766D
#F8766D	0.399090909090909	0.645606060606061	2011_04_24	167	1	#F8766D
#F8766D	0.462337662337662	0.347424242424242	2011_04_24	168	1	#F8766D
#F8766D	0.491038961038961	0.318333333333333	2011_04_24	197	1	#F8766D
#F8766D	0.316883116883117	0.387575757575758	2011_04_24	198	1	#F8766D
#F8766D	0.328961038961039	0.648787878787879	2011_05_02	217	1	#F8766D
#F8766D	0.390649350649351	0.47030303030303	2011_05_02	218	1	#F8766D
#F8766D	0.411428571428571	0.593636363636364	2011_05_02	219	1	#F8766D
#F8766D	0.541428571428571	0.493939393939394	2011_05_02	220	1	#F8766D
#F8766D	0.298051948051948	0.482878787878788	2011_05_11	231	1	#F8766D
#F8766D	0.418441558441559	0.624090909090909	2011_05_11	232	1	#F8766D
#F8766D	0.345584415584416	0.241666666666667	2011_05_11	233	1	#F8766D
#F8766D	0.405584415584416	0.241818181818182	2011_05_11	234	1	#F8766D
#F8766D	0.338181818181818	0.390909090909091	2011_05_11	235	1	#F8766D
#F8766D	0.197142857142857	0.682121212121212	2011_05_15	247	1	#F8766D
#F8766D	0.49961038961039	0.608636363636364	2011_05_15	248	1	#F8766D
#F8766D	0.397012987012987	0.333939393939394	2011_05_15	249	1	#F8766D
#F8766D	0.569220779220779	0.560151515151515	2011_05_15	250	1	#F8766D
#F8766D	0.514415584415585	0.613181818181818	2011_05_15	251	1	#F8766D
#F8766D	0.505454545454545	0.577878787878788	2011_05_10	257	1	#F8766D
#F8766D	0.529220779220779	0.291363636363636	2011_05_10	258	1	#F8766D
#F8766D	0.412207792207792	0.339848484848485	2011_05_10	259	1	#F8766D
#F8766D	0.33025974025974	0.436060606060606	2011_05_10	260	1	#F8766D
#F8766D	0.362467532467532	0.481666666666667	2011_05_10	261	1	#F8766D
#F8766D	0.386883116883117	0.548787878787879	2011_05_10	262	1	#F8766D
