colour	y	x	clickSelects	PANEL	fill
#F8766D	0.247402597402597	0.422424242424242	666	1	#F8766D
#F8766D	0.335064935064935	0.358030303030303	667	1	#F8766D
#F8766D	0.417922077922078	0.623181818181818	668	1	#F8766D
#F8766D	0.431298701298701	0.284393939393939	669	1	#F8766D
#F8766D	0.494415584415584	0.293939393939394	670	1	#F8766D
#F8766D	0.487272727272727	0.699545454545455	671	1	#F8766D
#F8766D	0.358051948051948	0.365909090909091	672	1	#F8766D
#F8766D	0.34012987012987	0.498030303030303	645	2	#F8766D
#F8766D	0.278831168831169	0.623181818181818	646	2	#F8766D
#F8766D	0.347012987012987	0.622727272727273	647	2	#F8766D
#F8766D	0.328181818181818	0.507727272727273	648	2	#F8766D
#00BFC4	0.292727272727273	0.318181818181818	649	2	#00BFC4
#F8766D	0.469090909090909	0.589848484848485	650	2	#F8766D
