colour	y	x	clickSelects	PANEL	fill
#F8766D	0.434415584415584	0.660454545454546	442	1	#F8766D
#F8766D	0.443766233766234	0.626818181818182	443	1	#F8766D
#F8766D	0.404155844155844	0.562272727272727	444	1	#F8766D
#F8766D	0.336623376623377	0.348636363636364	445	2	#F8766D
#00BFC4	0.457272727272727	0.486363636363636	446	2	#00BFC4
#F8766D	0.487402597402597	0.456818181818182	447	2	#F8766D
#F8766D	0.283116883116883	0.321969696969697	448	2	#F8766D
#F8766D	0.256363636363636	0.72969696969697	449	2	#F8766D
#F8766D	0.326883116883117	0.588636363636364	450	2	#F8766D
#F8766D	0.285714285714286	0.555909090909091	473	2	#F8766D
#F8766D	0.33974025974026	0.528787878787879	474	2	#F8766D
#F8766D	0.336623376623377	0.37	475	2	#F8766D
