colour	y	x	clickSelects	PANEL	fill
#F8766D	0.40025974025974	0.735454545454545	83	1	#F8766D
#F8766D	0.384025974025974	0.561969696969697	84	1	#F8766D
#F8766D	0.362077922077922	0.225454545454545	53	2	#F8766D
#F8766D	0.342337662337662	0.62530303030303	54	2	#F8766D
#00BFC4	0.470779220779221	0.264090909090909	55	2	#00BFC4
#F8766D	0.335584415584416	0.659242424242424	56	2	#F8766D
#F8766D	0.217142857142857	0.51	82	2	#F8766D
#00BFC4	0.365194805194805	0.562727272727273	1028	3	#00BFC4
#F8766D	0.398701298701299	0.536969696969697	1035	3	#F8766D
#00BFC4	0.328831168831169	0.438939393939394	1036	3	#00BFC4
#00BFC4	0.400779220779221	0.253333333333333	1037	3	#00BFC4
#00BFC4	0.437792207792208	0.617727272727273	1038	3	#00BFC4
#00BFC4	0.321168831168831	0.322878787878788	1039	3	#00BFC4
#00BFC4	0.537792207792208	0.457878787878788	1040	3	#00BFC4
#00BFC4	0.375324675324675	0.264848484848485	1041	3	#00BFC4
#00BFC4	0.467662337662338	0.377272727272727	1042	3	#00BFC4
#00BFC4	0.359090909090909	0.63030303030303	1043	3	#00BFC4
#00BFC4	0.540909090909091	0.543636363636364	1048	3	#00BFC4
#00BFC4	0.53974025974026	0.29969696969697	1049	3	#00BFC4
#00BFC4	0.306753246753247	0.512272727272727	1050	3	#00BFC4
#00BFC4	0.375844155844156	0.395909090909091	1051	3	#00BFC4
#00BFC4	0.442597402597403	0.401969696969697	1054	3	#00BFC4
#00BFC4	0.514935064935065	0.532727272727273	1055	3	#00BFC4
#00BFC4	0.487012987012987	0.581969696969697	1056	3	#00BFC4
#00BFC4	0.257662337662338	0.349545454545455	1057	3	#00BFC4
#F8766D	0.34948051948052	0.360454545454545	1058	3	#F8766D
#00BFC4	0.481428571428572	0.541818181818182	1059	3	#00BFC4
#00BFC4	0.497792207792208	0.473333333333333	1063	3	#00BFC4
#00BFC4	0.298831168831169	0.443181818181818	1071	3	#00BFC4
#00BFC4	0.477662337662338	0.57030303030303	1072	3	#00BFC4
#00BFC4	0.470779220779221	0.520454545454545	1073	3	#00BFC4
#00BFC4	0.340909090909091	0.292727272727273	1074	3	#00BFC4
#00BFC4	0.421298701298701	0.661363636363636	1075	3	#00BFC4
#00BFC4	0.407922077922078	0.548939393939394	1076	3	#00BFC4
#00BFC4	0.238441558441558	0.656666666666667	1025	4	#00BFC4
#00BFC4	0.372987012987013	0.64969696969697	1026	4	#00BFC4
#00BFC4	0.481688311688312	0.426212121212121	1027	4	#00BFC4
#00BFC4	0.331428571428571	0.526212121212121	1029	4	#00BFC4
#00BFC4	0.451038961038961	0.198333333333333	1030	4	#00BFC4
#00BFC4	0.457922077922078	0.637575757575758	1031	4	#00BFC4
#00BFC4	0.442337662337662	0.767121212121212	1032	4	#00BFC4
#00BFC4	0.502597402597403	0.630454545454545	1033	4	#00BFC4
#00BFC4	0.422077922077922	0.405	1034	4	#00BFC4
#00BFC4	0.449220779220779	0.331666666666667	1044	4	#00BFC4
#F8766D	0.421038961038961	0.645606060606061	1045	4	#F8766D
#00BFC4	0.483506493506494	0.604242424242424	1046	4	#00BFC4
#F8766D	0.4	0.643030303030303	1047	4	#F8766D
#00BFC4	0.295324675324675	0.608484848484849	1052	4	#00BFC4
#00BFC4	0.46038961038961	0.568939393939394	1053	4	#00BFC4
#00BFC4	0.249090909090909	0.576363636363636	1060	4	#00BFC4
#00BFC4	0.398831168831169	0.501060606060606	1061	4	#00BFC4
#00BFC4	0.328311688311688	0.357727272727273	1062	4	#00BFC4
#00BFC4	0.384935064935065	0.528939393939394	1064	4	#00BFC4
#00BFC4	0.23012987012987	0.508030303030303	1065	4	#00BFC4
#00BFC4	0.369350649350649	0.568333333333333	1066	4	#00BFC4
#00BFC4	0.189090909090909	0.749848484848485	1067	4	#00BFC4
#F8766D	0.381298701298701	0.496969696969697	1068	4	#F8766D
#00BFC4	NA	0.865909090909091	1069	4	#00BFC4
#00BFC4	0.328311688311688	0.600606060606061	1070	4	#00BFC4
