colour	y	x	showSelected	PANEL	fill
#F8766D	0.598905194805195	0.468037878787879	1	1	#F8766D
#F8766D	0.507762337662338	0.432589393939394	2	1	#F8766D
#F8766D	0.48619025974026	0.483182575757576	3	1	#F8766D
#F8766D	0.485391558441559	0.518214393939394	4	1	#F8766D
#F8766D	0.448574675324675	0.390440151515151	5	1	#F8766D
#F8766D	0.508141558441558	0.50570303030303	6	1	#F8766D
#F8766D	0.350763636363636	0.348367424242424	7	1	#F8766D
#F8766D	0.37110974025974	0.488406818181818	8	1	#F8766D
#F8766D	0.483287662337662	0.462662121212121	9	1	#F8766D
#F8766D	0.43278961038961	0.473	10	1	#F8766D
#F8766D	0.519305194805195	0.441181060606061	11	1	#F8766D
#F8766D	0.484535064935065	0.375415909090909	12	1	#F8766D
#F8766D	0.454567532467533	0.52959696969697	13	1	#F8766D
#F8766D	0.588670779220779	0.453056060606061	14	1	#F8766D
#00BFC4	0.596314285714286	0.249674242424242	15	1	#00BFC4
#F8766D	0.54887012987013	0.450675757575758	16	1	#F8766D
#F8766D	0.57988961038961	0.411143181818182	17	1	#F8766D
#00BFC4	0.527963636363636	0.253531060606061	18	1	#00BFC4
#F8766D	0.608164285714286	0.488590909090909	19	1	#F8766D
#F8766D	0.402681168831169	0.524652272727273	20	1	#F8766D
#F8766D	0.443687012987013	0.521934090909091	21	1	#F8766D
#F8766D	0.518137012987013	0.440270454545455	22	1	#F8766D
#F8766D	0.456762337662338	0.570053787878788	23	1	#F8766D
#F8766D	0.502475974025974	0.588696212121212	24	1	#F8766D
#F8766D	0.497151298701299	0.438500757575758	25	1	#F8766D
#00BFC4	0.459512987012987	0.337934090909091	26	1	#00BFC4
#F8766D	0.401926623376623	0.605361363636364	27	1	#F8766D
#00BFC4	0.434955844155844	0.238912878787879	28	1	#00BFC4
#F8766D	0.416652597402598	0.491164393939394	29	1	#F8766D
#F8766D	0.433549350649351	0.503512121212121	30	1	#F8766D
#F8766D	0.591045454545455	0.195412121212121	31	1	#F8766D
#F8766D	0.563514935064935	0.506407575757576	32	1	#F8766D
#F8766D	0.423333766233766	0.279744696969697	33	1	#F8766D
#F8766D	0.505802597402597	0.32680303030303	34	1	#F8766D
#F8766D	0.494141558441559	0.383454545454545	35	1	#F8766D
#F8766D	0.452153246753247	0.492627272727273	36	1	#F8766D
#F8766D	0.699605194805195	0.407929545454545	37	1	#F8766D
#F8766D	0.523054545454545	0.491353787878788	38	1	#F8766D
#F8766D	0.497761688311688	0.476237121212121	39	1	#F8766D
#00BFC4	0.446996753246753	0.344234848484848	40	1	#00BFC4
#F8766D	0.525520779220779	0.294481060606061	41	1	#F8766D
#F8766D	0.53488961038961	0.561546212121212	42	1	#F8766D
#F8766D	0.492842857142857	0.489339393939394	43	1	#F8766D
#00BFC4	0.507264285714286	0.318869696969697	44	1	#00BFC4
#00BFC4	0.399904545454545	0.370119696969697	45	1	#00BFC4
#F8766D	0.380596753246753	0.365739393939394	46	1	#F8766D
#00BFC4	0.458455844155844	0.429675	47	1	#00BFC4
#F8766D	0.535701948051948	0.468278787878788	48	1	#F8766D
#00BFC4	0.574606493506494	0.513784090909091	49	1	#00BFC4
#F8766D	0.561205844155844	0.429593181818182	50	1	#F8766D
