x	y	label	showSelected	key
0.705178429004194	0.25497752784593	Korea, Dem. Rep.	Korea, Dem. Rep.	Korea, Dem. Rep.
0.685341055261331	0.166065961743057	Korea, Rep.	Korea, Rep.	Korea, Rep.
0.665267680654577	0.476539939640011	Kosovo	Kosovo	Kosovo
0.742294030246038	0.449953318713768	Kuwait	Kuwait	Kuwait
0.695476551299995	0.287654428208524	Kazakhstan	Kazakhstan	Kazakhstan
0.413394333539451	0.64471198732006	Lao PDR	Lao PDR	Lao PDR
0.676068235488427	0.355939379464576	Lebanon	Lebanon	Lebanon
0.723429922545733	0.389050524350262	St. Lucia	St. Lucia	St. Lucia
0.707681710309282	0.280055149054433	Sri Lanka	Sri Lanka	Sri Lanka
0.304129353859657	0.703986364721975	Liberia	Liberia	Liberia
0.496534663643475	0.537019345593504	Lesotho	Lesotho	Lesotho
0.723264607930929	0.180178908743513	Lithuania	Lithuania	Lithuania
0.766992793764927	0.108528562433506	Luxembourg	Luxembourg	Luxembourg
0.70523581407738	0.180178908743513	Latvia	Latvia	Latvia
0.621512892468772	0.690416223375383	Libya	Libya	Libya
0.572502239632997	0.50911913498491	Morocco	Morocco	Morocco
0.651212898127472	0.237716308053065	Moldova	Moldova	Moldova
0.784380850973511	0.182133009097423	Montenegro	Montenegro	Montenegro
0.394073425455251	0.619308682719239	Madagascar	Madagascar	Madagascar
0.717233854776166	0.200479840198016	Macedonia, FYR	Macedonia, FYR	Macedonia, FYR
0.276442386165591	0.722767440345659	Mali	Mali	Mali
0.490847080827028	0.404140521527672	Myanmar	Myanmar	Myanmar
0.537534588282812	0.555474737824869	Mongolia	Mongolia	Mongolia
0.787978629038679	0.172688190720195	Macao SAR, China	Macao SAR, China	Macao SAR, China
0.478198422609749	0.627885012050285	Mauritania	Mauritania	Mauritania
0.778346677516373	0.16498035043533	Malta	Malta	Malta
0.690697248780976	0.187778187897605	Mauritius	Mauritius	Mauritius
0.50821613635575	0.739268732223115	Maldives	Maldives	Maldives
