x	y	label	showSelected	key
0.727536565597618	0.503148272792409	United Arab Emirates	United Arab Emirates	United Arab Emirates
0.262844023988785	0.805491021994485	Afghanistan	Afghanistan	Afghanistan
0.740054872291041	0.367555420457259	Albania	Albania	Albania
0.710556664472481	0.222626310875654	Armenia	Armenia	Armenia
0.262996037427684	0.735794776038387	Angola	Angola	Angola
0.727417235048083	0.28906572290857	Argentina	Argentina	Argentina
0.776632725992774	0.111785396356688	Austria	Austria	Austria
0.805990321380352	0.162049199904466	Australia	Australia	Australia
0.766549294556935	0.206450702390516	Aruba	Aruba	Aruba
0.647037088960887	0.269199035977159	Azerbaijan	Azerbaijan	Azerbaijan
0.746248279825426	0.165306033827648	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina
0.770430957719248	0.151953014742602	Barbados	Barbados	Barbados
0.514979214252415	0.553303515209414	Bangladesh	Bangladesh	Bangladesh
0.788710193713385	0.115042230279871	Belgium	Belgium	Belgium
0.375201337049404	0.715602405714658	Burkina Faso	Burkina Faso	Burkina Faso
0.737413258756554	0.16498035043533	Bulgaria	Bulgaria	Bulgaria
0.741677995784896	0.427155481251493	Bahrain	Bahrain	Bahrain
0.377990023586026	0.657087956228152	Burundi	Burundi	Burundi
0.356135811542555	0.710174349176021	Benin	Benin	Benin
0.753319564969461	0.365167075580259	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam
0.495304114855578	0.509879062900319	Bolivia	Bolivia	Bolivia
0.631635847398725	0.327713485463665	Brazil	Brazil	Brazil
0.703061261833913	0.263445296046204	Bahamas, The	Bahamas, The	Bahamas, The
0.396357427374724	0.636352780250559	Bhutan	Bhutan	Bhutan
0.607653067177057	0.557645960440324	Botswana	Botswana	Botswana
0.73374593454309	0.180178908743513	Belarus	Belarus	Belarus
0.742333173706555	0.498154460776863	Belize	Belize	Belize
0.816494450008349	0.134583233818963	Canada	Canada	Canada
0.350225529038121	0.697581258006383	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.
0.40341465127566	0.598573506741646	Central African Republic	Central African Republic	Central African Republic
0.517187209452439	0.580118114510281	Congo, Rep.	Congo, Rep.	Congo, Rep.
0.823198242663842	0.117213452895325	Switzerland	Switzerland	Switzerland
0.454795193623888	0.710717154829885	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire
0.747961091248233	0.241733069891656	Chile	Chile	Chile
0.451157512031008	0.635267168942832	Cameroon	Cameroon	Cameroon
0.691995063515585	0.239778969537747	China	China	China
0.68050284753474	0.325650823978983	Colombia	Colombia	Colombia
0.790326856636088	0.329233341294483	Costa Rica	Costa Rica	Costa Rica
0.785094934102744	0.152712942658011	Cuba	Cuba	Cuba
0.603885034060321	0.591951277764509	Cape Verde	Cape Verde	Cape Verde
0.806670961553028	0.220129404867881	Cyprus	Cyprus	Cyprus
0.734582008457039	0.16498035043533	Czech Republic	Czech Republic	Czech Republic
0.783591521192023	0.102014894587142	Germany	Germany	Germany
0.407237029196804	0.661864645982152	Djibouti	Djibouti	Djibouti
0.787266066043836	0.110374101656643	Denmark	Denmark	Denmark
0.642402199208823	0.374286210565169	Dominican Republic	Dominican Republic	Dominican Republic
0.620676818554821	0.596836528649282	Algeria	Algeria	Algeria
0.657056674752389	0.42465857524372	Ecuador	Ecuador	Ecuador
0.708625713764852	0.183435742666696	Estonia	Estonia	Estonia
0.546902416455029	0.500977050176955	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.
0.32729468181364	0.650574288381788	Eritrea	Eritrea	Eritrea
0.815810389533298	0.130240788588054	Spain	Spain	Spain
0.320567327075117	0.714733916668476	Ethiopia	Ethiopia	Ethiopia
0.784077584162906	0.131326399895781	Finland	Finland	Finland
0.630697164413517	0.347254489002757	Fiji	Fiji	Fiji
0.650290556586947	0.561228477755824	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.
0.800859867817475	0.155209848665784	France	France	France
0.546807028022119	0.516609853008229	Gabon	Gabon	Gabon
0.790408943893094	0.148696180819419	United Kingdom	United Kingdom	United Kingdom
0.657311297262546	0.412608289727946	Grenada	Grenada	Grenada
0.714135060824187	0.200045595674925	Georgia	Georgia	Georgia
0.477630652415457	0.618874438196148	Ghana	Ghana	Ghana
0.429277077669328	0.62886206222724	Gambia, The	Gambia, The	Gambia, The
0.270726680862949	0.705506220552793	Guinea	Guinea	Guinea
0.323959506964173	0.588151638187463	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea
0.808182735202889	0.135343161734373	Greece	Greece	Greece
0.556929982952073	0.595208111687691	Guatemala	Guatemala	Guatemala
0.730861099506364	0.287545867077751	Guam	Guam	Guam
0.279518758135332	0.685313850229064	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau
0.569902429794208	0.272238747638795	Guyana	Guyana	Guyana
0.818531430089609	0.115150791410643	Hong Kong SAR, China	Hong Kong SAR, China	Hong Kong SAR, China
0.614935651001163	0.56937056256378	Honduras	Honduras	Honduras
0.732085187723106	0.150867403434874	Croatia	Croatia	Croatia
0.452424544044241	0.607692641726556	Haiti	Haiti	Haiti
0.702263951346883	0.151953014742602	Hungary	Hungary	Hungary
0.56225691388473	0.359847580172395	Indonesia	Indonesia	Indonesia
0.775008842431725	0.224688972360336	Ireland	Ireland	Ireland
0.799415740147923	0.285266083331524	Israel	Israel	Israel
0.516218123779451	0.418904835312765	India	India	India
0.532943022360835	0.631033284842695	Iraq	Iraq	Iraq
0.432128089715899	0.629187745619558	Iran, Islamic Rep.	Iran, Islamic Rep.	Iran, Islamic Rep.
0.836735039397894	0.162809127819875	Iceland	Iceland	Iceland
0.803903936931448	0.104186117202597	Italy	Italy	Italy
0.786807365491954	0.109288490348915	Channel Islands	Channel Islands	Channel Islands
0.734784946397971	0.312406366024708	Jamaica	Jamaica	Jamaica
0.702662226556802	0.693564496167792	Jordan	Jordan	Jordan
0.837483705584475	0.14435373558851	Japan	Japan	Japan
0.554828777192877	0.704312048114293	Kenya	Kenya	Kenya
0.638534977323205	0.397626853681308	Kyrgyz Republic	Kyrgyz Republic	Kyrgyz Republic
0.444592051604914	0.681839894044336	Cambodia	Cambodia	Cambodia
0.469208727866796	0.667184141390017	Comoros	Comoros	Comoros
0.710379948849758	0.248138176607248	Korea, Dem. Rep.	Korea, Dem. Rep.	Korea, Dem. Rep.
0.695419546260407	0.134583233818963	Korea, Rep.	Korea, Rep.	Korea, Rep.
0.668619576982323	0.448704865709881	Kosovo	Kosovo	Kosovo
0.745886867874442	0.413476778774128	Kuwait	Kuwait	Kuwait
0.695476551299995	0.287654428208524	Kazakhstan	Kazakhstan	Kazakhstan
0.421568856216302	0.643843498273878	Lao PDR	Lao PDR	Lao PDR
0.679040098218924	0.343671971687257	Lebanon	Lebanon	Lebanon
0.725130192859831	0.375371821872897	St. Lucia	St. Lucia	St. Lucia
0.708504863080926	0.268330546930977	Sri Lanka	Sri Lanka	Sri Lanka
0.301531444188856	0.69942679722952	Liberia	Liberia	Liberia
0.503852970625721	0.530071433224048	Lesotho	Lesotho	Lesotho
0.726088257558498	0.181264520051241	Lithuania	Lithuania	Lithuania
0.771774376485527	0.103100505894869	Luxembourg	Luxembourg	Luxembourg
0.707238591134889	0.179093297435786	Latvia	Latvia	Latvia
0.635172440054735	0.660344790151334	Libya	Libya	Libya
0.582566669388974	0.490012375968908	Morocco	Morocco	Morocco
0.658016639619043	0.240213214060838	Moldova	Moldova	Moldova
0.78669601564796	0.177356319343422	Montenegro	Montenegro	Montenegro
0.395331716695747	0.620502855157739	Madagascar	Madagascar	Madagascar
0.720370272054271	0.197114445144061	Macedonia, FYR	Macedonia, FYR	Macedonia, FYR
0.284226994371664	0.723310245999522	Mali	Mali	Mali
0.492576993761711	0.393610091842717	Myanmar	Myanmar	Myanmar
0.544172255092384	0.536910784462731	Mongolia	Mongolia	Mongolia
0.792524210895389	0.174750852204877	Macao SAR, China	Macao SAR, China	Macao SAR, China
0.482432756950312	0.623108322296285	Mauritania	Mauritania	Mauritania
0.781859328055757	0.16932279566624	Malta	Malta	Malta
0.692829997328745	0.172579629589422	Mauritius	Mauritius	Mauritius
0.520520864167518	0.733189308899841	Maldives	Maldives	Maldives
0.344967384186566	0.731995136461341	Malawi	Malawi	Malawi
0.699252185088675	0.376240310919079	Mexico	Mexico	Mexico
0.699890261498459	0.350185639533621	Malaysia	Malaysia	Malaysia
0.292326270396261	0.647860260112469	Mozambique	Mozambique	Mozambique
0.558871954634021	0.593036889072237	Namibia	Namibia	Namibia
0.699048867114147	0.278969537746705	New Caledonia	New Caledonia	New Caledonia
0.252682685665508	0.79973728206353	Niger	Niger	Niger
0.342830075235631	0.678691621251927	Nigeria	Nigeria	Nigeria
0.573229243904537	0.542338841001368	Nicaragua	Nicaragua	Nicaragua
0.816201824138466	0.117322014026098	Netherlands	Netherlands	Netherlands
0.810470917491932	0.135668845126691	Norway	Norway	Norway
0.423008803516284	0.55829732722496	Nepal	Nepal	Nepal
0.777943841903287	0.162809127819875	New Zealand	New Zealand	New Zealand
0.656556550538407	0.845875762641944	Oman	Oman	Oman
0.739421356284424	0.315880322209436	Panama	Panama	Panama
0.608726662089289	0.426612675597629	Peru	Peru	Peru
0.680283948182724	0.354745207026076	French Polynesia	French Polynesia	French Polynesia
0.482256041327589	0.518889636754456	Papua New Guinea	Papua New Guinea	Papua New Guinea
0.628130037464093	0.464826193629633	Philippines	Philippines	Philippines
0.553321183912585	0.648837310289424	Pakistan	Pakistan	Pakistan
0.726829323073136	0.206125018998198	Poland	Poland	Poland
0.785968631342822	0.207753435959789	Puerto Rico	Puerto Rico	Puerto Rico
0.76213444425768	0.142182512973055	Portugal	Portugal	Portugal
0.675464742135993	0.498263021907636	Paraguay	Paraguay	Paraguay
0.762108982006664	0.491966476322817	Qatar	Qatar	Qatar
0.713710563296059	0.204062357513516	Romania	Romania	Romania
0.684885014944632	0.175836463512604	Russian Federation	Russian Federation	Russian Federation
0.395427105128656	0.836539505395488	Rwanda	Rwanda	Rwanda
0.65653260842178	0.675869031851836	Saudi Arabia	Saudi Arabia	Saudi Arabia
0.519538857352223	0.634832924419741	Solomon Islands	Solomon Islands	Solomon Islands
0.421452185901947	0.628319256573376	Sudan	Sudan	Sudan
0.822172151951266	0.142182512973055	Sweden	Sweden	Sweden
0.767580325706274	0.12850381049569	Singapore	Singapore	Singapore
0.739332428422667	0.138925679049873	Slovenia	Slovenia	Slovenia
0.729725179084183	0.198634300974879	Slovak Republic	Slovak Republic	Slovak Republic
0.295588098761459	0.553629198601733	Sierra Leone	Sierra Leone	Sierra Leone
0.422976120626921	0.726024274268841	Senegal	Senegal	Senegal
0.33329959268379	0.679777232559654	Somalia	Somalia	Somalia
0.671820219938363	0.315663199947891	Suriname	Suriname	Suriname
0.564928550073398	0.601070412749419	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe
0.560704096606365	0.440182816944221	El Salvador	El Salvador	El Salvador
0.699276127205301	0.643734937143105	Syrian Arab Republic	Syrian Arab Republic	Syrian Arab Republic
0.52155417551844	0.646340404281651	Swaziland	Swaziland	Swaziland
0.406519525765195	0.683902555529018	Chad	Chad	Chad
0.428992812538585	0.696929891221747	Togo	Togo	Togo
0.719681651176054	0.232396812645201	Thailand	Thailand	Thailand
0.613570190286243	0.548852508847732	Tajikistan	Tajikistan	Tajikistan
0.278601737065167	0.532568339231821	Timor-Leste	Timor-Leste	Timor-Leste
0.597466646636362	0.460158065006405	Turkmenistan	Turkmenistan	Turkmenistan
0.651198836884374	0.447130729313677	Tunisia	Tunisia	Tunisia
0.698952338580445	0.509987624031092	Tonga	Tonga	Tonga
0.564355839442341	0.354745207026076	Turkey	Turkey	Turkey
0.691374848684872	0.284289033154569	Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago
0.424830684581501	0.655133855874243	Tanzania	Tanzania	Tanzania
0.714745394781371	0.176922074820331	Ukraine	Ukraine	Ukraine
0.401020439612985	0.72439585730725	Uganda	Uganda	Uganda
0.789382853180519	0.15347287057342	United States	United States	United States
0.74222334399695	0.227945806283518	Uruguay	Uruguay	Uruguay
0.668050286653641	0.446045118005949	Uzbekistan	Uzbekistan	Uzbekistan
0.681771019648763	0.314577588640163	St. Vincent and the Grenadines	St. Vincent and the Grenadines	St. Vincent and the Grenadines
0.714573619595414	0.365167075580259	Venezuela, RB	Venezuela, RB	Venezuela, RB
0.765891076366498	0.316206005601754	Virgin Islands (U.S.)	Virgin Islands (U.S.)	Virgin Islands (U.S.)
0.578901625377093	0.434429077013266	Vietnam	Vietnam	Vietnam
0.579326882972416	0.518781075623684	Vanuatu	Vanuatu	Vanuatu
0.600841725013542	0.478504896106998	Samoa	Samoa	Samoa
0.461611476224167	0.950528692706863	Yemen, Rep.	Yemen, Rep.	Yemen, Rep.
0.560674073952182	0.419339079835856	South Africa	South Africa	South Africa
0.425170054583846	0.691393273552337	Zambia	Zambia	Zambia
0.585017506057641	0.628970623358013	Zimbabwe	Zimbabwe	Zimbabwe
