fill	y	x	clickSelects	PANEL	group	xmin	xmax	ymin	ymax
#F8766D	0.845303867403315	NA	American Samoa	1	189	NA	NA	0.832872928176796	0.857734806629834
#F8766D	0.0441988950276243	0.844725210175609	Australia	1	10	0.0454545454545454	0.844725210175609	0.031767955801105	0.0566298342541436
#F8766D	0.18232044198895	0.805251532959629	Brunei Darussalam	1	60	0.0454545454545454	0.805251532959629	0.169889502762431	0.19475138121547
#F8766D	0.707182320441989	0.767425770732498	China	1	142	0.0454545454545454	0.767425770732498	0.69475138121547	0.719613259668508
#F8766D	0.403314917127072	0.722506000271108	Fiji	1	91	0.0454545454545454	0.722506000271108	0.390883977900552	0.415745856353591
#F8766D	0.348066298342541	0.749079958430016	Micronesia, Fed. Sts.	1	84	0.0454545454545454	0.749079958430016	0.335635359116022	0.360497237569061
#F8766D	0.237569060773481	0.791436955291003	Guam	1	66	0.0454545454545454	0.791436955291003	0.225138121546961	0.25
#F8766D	0.0994475138121547	0.84445410158067	Hong Kong SAR, China	1	40	0.0454545454545454	0.84445410158067	0.0870165745856353	0.111878453038674
#F8766D	0.624309392265193	0.655821259698113	Indonesia	1	134	0.0454545454545454	0.655821259698113	0.611878453038674	0.636740331491713
#F8766D	0.0718232044198895	0.872556367995364	Japan	1	37	0.0454545454545454	0.872556367995364	0.0593922651933702	0.0842541436464088
#F8766D	0.762430939226519	0.403338356816122	Cambodia	1	147	0.0454545454545454	0.403338356816122	0.75	0.774861878453039
#F8766D	0.87292817679558	NA	Kiribati	1	197	NA	NA	0.860497237569061	0.885359116022099
#F8766D	0.458563535911602	0.768639911969444	Korea, Dem. Rep.	1	93	0.0454545454545454	0.768639911969444	0.446132596685083	0.470994475138122
#F8766D	0.486187845303867	0.749951492824926	Korea, Rep.	1	99	0.0454545454545454	0.749951492824926	0.473756906077348	0.498618784530387
#F8766D	0.679558011049724	0.566416821490938	Lao PDR	1	140	0.0454545454545454	0.566416821490938	0.667127071823204	0.691988950276243
#F8766D	0.900552486187845	NA	Marshall Islands	1	204	NA	NA	0.888121546961326	0.912983425414365
#F8766D	0.734806629834254	0.635627390473457	Myanmar	1	144	0.0454545454545454	0.635627390473457	0.722375690607735	0.747237569060773
#F8766D	0.569060773480663	0.669223858619526	Mongolia	1	113	0.0454545454545454	0.669223858619526	0.556629834254144	0.581491712707182
#F8766D	0.154696132596685	0.832778889677407	Macao SAR, China	1	47	0.0454545454545454	0.832778889677407	0.142265193370166	0.167127071823204
#F8766D	0.92817679558011	NA	Northern Mariana Islands	1	205	NA	NA	0.915745856353591	0.94060773480663
#F8766D	0.265193370165746	0.769700425002592	Malaysia	1	75	0.0454545454545454	0.769700425002592	0.252762430939227	0.277624309392265
#F8766D	0.292817679558011	0.766550249446487	New Caledonia	1	78	0.0454545454545454	0.766550249446487	0.280386740331492	0.30524861878453
#F8766D	0.0165745856353591	0.831908684246198	New Zealand	1	7	0.0454545454545454	0.831908684246198	0.00414364640883978	0.0290055248618784
#F8766D	0.375690607734807	0.72710474626096	French Polynesia	1	88	0.0454545454545454	0.72710474626096	0.363259668508287	0.388121546961326
#F8766D	0.790055248618785	0.597405331270781	Papua New Guinea	1	166	0.0454545454545454	0.597405331270781	0.777624309392265	0.802486187845304
#F8766D	0.320441988950276	0.726445580265421	Philippines	1	82	0.0454545454545454	0.726445580265421	0.308011049723757	0.332872928176796
#F8766D	0.955801104972376	NA	Palau	1	207	NA	NA	0.943370165745856	0.968232044198895
#F8766D	0.541436464088398	0.677395922207781	Solomon Islands	1	110	0.0454545454545454	0.677395922207781	0.529005524861878	0.553867403314917
#F8766D	0.12707182320442	0.818435916041389	Singapore	1	44	0.0454545454545454	0.818435916041389	0.114640883977901	0.139502762430939
#F8766D	0.430939226519337	0.735574763510909	Thailand	1	92	0.0454545454545454	0.735574763510909	0.418508287292818	0.443370165745856
#F8766D	0.81767955801105	0.404453091568257	Timor-Leste	1	181	0.0454545454545454	0.404453091568257	0.80524861878453	0.830110497237569
#F8766D	0.209944751381215	0.77357515156831	Tonga	1	65	0.0454545454545454	0.77357515156831	0.197513812154696	0.222375690607735
#F8766D	0.983425414364641	NA	Tuvalu	1	214	NA	NA	0.970994475138121	0.99585635359116
#F8766D	0.651933701657459	0.609484282346312	Vietnam	1	138	0.0454545454545454	0.609484282346312	0.639502762430939	0.664364640883978
#F8766D	0.596685082872928	0.66337668412925	Vanuatu	1	127	0.0454545454545454	0.66337668412925	0.584254143646409	0.609116022099447
