size	colour	x	y	clickSelects	tooltip	key	fill
2.80498447189992	#00C094	0.448976268536813	0.747279310974766	United Arab Emirates	United Arab Emirates population 1707085	United Arab Emirates	#00C094
3.60996894379985	#A58AFF	0.814935840371713	0.282330246687788	Afghanistan	Afghanistan population 11215323	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.320222767440346	0.745611723550032	Albania	Albania population 3404408	Albania	#C49A00
2.80498447189992	#C49A00	0.231745445860564	0.685754151781543	Armenia	Armenia population 3542720	Armenia	#C49A00
3.60996894379985	#FB61D7	0.732972186638296	0.267840325691832	Angola	Angola population 10051133	Angola	#FB61D7
4.78854800926934	#53B400	0.280706515839069	0.738412367083724	Argentina	Argentina population 32170407	Argentina	#53B400
3.39427400463467	#C49A00	0.110699785048961	0.800050396255332	Austria	Austria population 7619567	Austria	#C49A00
3.9718012070186	#F8766D	0.152821503788783	0.822886615114097	Australia	Australia population 16814400	Australia	#F8766D
2	#53B400	0.199937034544152	0.770390294124343	Aruba	Aruba population 61032	Aruba	#53B400
3.39427400463467	#C49A00	0.257257311592157	0.641762602664651	Azerbaijan	Azerbaijan population 7104058	Azerbaijan	#C49A00
3.13841995766062	#C49A00	0.145982152550101	0.699799433468715	Bosnia and Herzegovina	Bosnia and Herzegovina population 4584734	Bosnia and Herzegovina	#C49A00
2	#53B400	0.144136613326964	0.784507782194994	Barbados	Barbados population 258443	Barbados	#53B400
7.02712641575682	#A58AFF	0.466563171721997	0.546230137021494	Bangladesh	Bangladesh population 104779345	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.124812732049417	0.806043526083968	Belgium	Belgium population 9937697	Belgium	#C49A00
3.39427400463467	#FB61D7	0.701163775321884	0.381481392243963	Burkina Faso	Burkina Faso population 8579825	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.159552293896693	0.745116539772816	Bulgaria	Bulgaria population 8876972	Bulgaria	#C49A00
2	#00C094	0.371463621165078	0.754266988727406	Bahrain	Bahrain population 481142	Bahrain	#00C094
3.13841995766062	#FB61D7	0.65980198449747	0.357566638036202	Burundi	Burundi population 5449339	Burundi	#FB61D7
3.13841995766062	#FB61D7	0.692044640336974	0.378574135224999	Benin	Benin population 4836240	Benin	#FB61D7
2	#F8766D	0.34497470525653	0.770960724553815	Brunei Darussalam	Brunei Darussalam population 249743	Brunei Darussalam	#F8766D
3.13841995766062	#53B400	0.49088086501509	0.534713218856826	Bolivia	Bolivia population 6635658	Bolivia	#53B400
7.96992462263972	#53B400	0.269958963892568	0.655242014325518	Brazil	Brazil population 147078659	Brazil	#53B400
2	#53B400	0.241407386499338	0.70934739756603	Bahamas, The	Bahamas, The population 251863	Bahamas, The	#53B400
2	#A58AFF	0.594556744903055	0.435677223480619	Bhutan	Bhutan population 529519	Bhutan	#A58AFF
2	#FB61D7	0.481218924376316	0.62629219498779	Botswana	Botswana population 1343440	Botswana	#FB61D7
3.60996894379985	#C49A00	0.173665240897149	0.743018754315995	Belarus	Belarus population 10170000	Belarus	#C49A00
2	#53B400	0.450930368890722	0.754521611237563	Belize	Belize population 183368	Belize	#53B400
4.54558441227157	#00B6EB	0.145439346896237	0.828370499922417	Canada	Canada population 27379000	Canada	#00B6EB
4.90241278938748	#FB61D7	0.718316433983976	0.356415136236534	Congo, Dem. Rep.	Congo, Dem. Rep. population 33727905	Congo, Dem. Rep.	#FB61D7
2.80498447189992	#FB61D7	0.585763293310463	0.393555819695797	Central African Republic	Central African Republic population 2851604	Central African Republic	#FB61D7
2.80498447189992	#FB61D7	0.542881646655232	0.509075392319134	Congo, Rep.	Congo, Rep. population 2320488	Congo, Rep.	#FB61D7
3.13841995766062	#C49A00	0.122641509433962	0.833911389770324	Switzerland	Switzerland population 6646912	Switzerland	#C49A00
3.60996894379985	#FB61D7	0.647968821243242	0.451149151291869	Cote d'Ivoire	Cote d'Ivoire population 11711125	Cote d'Ivoire	#FB61D7
3.8	#53B400	0.239887530668519	0.769415127913799	Chile	Chile population 12981032	Chile	#53B400
3.60996894379985	#FB61D7	0.60508717458801	0.458083244307296	Cameroon	Cameroon population 11716975	Cameroon	#FB61D7
18.4185261214276	#F8766D	0.218609549037063	0.706544649786309	China	China population 1118650000	China	#F8766D
