size	colour	x	y	clickSelects	tooltip	key	fill
2.80498447189992	#00C094	0.19114358295156	0.803414833691788	United Arab Emirates	United Arab Emirates population 3658658	United Arab Emirates	#00C094
4.41495341569977	#A58AFF	0.728412619145841	0.349797611207616	Afghanistan	Afghanistan population 24018682	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.153798553965738	0.809571758000838	Albania	Albania population 3216197	Albania	#C49A00
2.80498447189992	#C49A00	0.139468484703737	0.759045911212828	Armenia	Armenia population 3025652	Armenia	#C49A00
3.9718012070186	#FB61D7	0.64710033219706	0.375546027522109	Angola	Angola population 15976715	Angola	#FB61D7
5.01197609552267	#53B400	0.204062357513516	0.789105048620929	Argentina	Argentina population 38308779	Argentina	#53B400
3.39427400463467	#C49A00	0.107442951125779	0.861323213139982	Austria	Austria population 8171966	Austria	#C49A00
4.12978872191586	#F8766D	0.145222224634692	0.881731017312317	Australia	Australia population 20127400	Australia	#F8766D
2	#53B400	0.147284886119374	0.781971437966946	Aruba	Aruba population 98742	Aruba	#53B400
3.39427400463467	#C49A00	0.176216427470309	0.694239541940945	Azerbaijan	Azerbaijan population 8306500	Azerbaijan	#C49A00
2.80498447189992	#C49A00	0.0877933864559133	0.790882085721671	Bosnia and Herzegovina	Bosnia and Herzegovina population 3886723	Bosnia and Herzegovina	#C49A00
2	#53B400	0.116127841587598	0.808674498677731	Barbados	Barbados population 272205	Barbados	#53B400
7.86037541459589	#A58AFF	0.246292637384111	0.664232469135666	Bangladesh	Bangladesh population 141235035	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.1400112903576	0.856610796534079	Belgium	Belgium population 10421137	Belgium	#C49A00
3.8	#FB61D7	0.612795014872875	0.436601845222728	Burkina Faso	Burkina Faso population 13034258	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.093330004125323	0.758220098206002	Bulgaria	Bulgaria population 7781161	Bulgaria	#C49A00
2	#00C094	0.237824869183837	0.784834991122226	Bahrain	Bahrain population 820505	Bahrain	#00C094
3.39427400463467	#FB61D7	0.515632802831274	0.365833508877185	Burundi	Burundi population 7510771	Burundi	#FB61D7
3.39427400463467	#FB61D7	0.572301713094644	0.461948566024928	Benin	Benin population 7922796	Benin	#FB61D7
2	#F8766D	0.19353192782856	0.828324135823552	Brunei Darussalam	Brunei Darussalam population 360797	Brunei Darussalam	#F8766D
3.39427400463467	#53B400	0.367012614803396	0.630544390907422	Bolivia	Bolivia population 9187610	Bolivia	#53B400
8.63807200925088	#53B400	0.185172720759059	0.737938845221551	Brazil	Brazil population 184010283	Brazil	#53B400
2	#53B400	0.154992726404238	0.767481897004587	Bahamas, The	Bahamas, The population 322400	Bahamas, The	#53B400
2	#A58AFF	0.28472327767766	0.630216041879398	Bhutan	Bhutan population 633893	Bhutan	#A58AFF
2.80498447189992	#FB61D7	0.287654428208524	0.40256071578264	Botswana	Botswana population 1854739	Botswana	#FB61D7
3.60996894379985	#C49A00	0.0835595023557765	0.702013129172698	Belarus	Belarus population 9730000	Belarus	#C49A00
2	#53B400	0.301658814078207	0.784654095129934	Belize	Belize population 265040	Belize	#53B400
4.78854800926934	#00B6EB	0.11938467551078	0.876296536871638	Canada	Canada population 31995000	Canada	#00B6EB
5.6	#FB61D7	0.662298890505243	0.35658843155688	Congo, Dem. Rep.	Congo, Dem. Rep. population 52487293	Congo, Dem. Rep.	#FB61D7
2.80498447189992	#FB61D7	0.515089997177411	0.312323258249969	Central African Republic	Central African Republic population 3893595	Central African Republic	#FB61D7
2.80498447189992	#FB61D7	0.473076839568361	0.481014851598971	Congo, Rep.	Congo, Rep. population 3448868	Congo, Rep.	#FB61D7
3.39427400463467	#C49A00	0.107442951125779	0.891041840444947	Switzerland	Switzerland population 7389625	Switzerland	#C49A00
3.9718012070186	#FB61D7	0.488709642399635	0.423968008315742	Cote d'Ivoire	Cote d'Ivoire population 17144325	Cote d'Ivoire	#FB61D7
3.9718012070186	#53B400	0.166065961743057	0.844325450435772	Chile	Chile population 16168241	Chile	#53B400
