xmin	xmax	clickSelects	group
0.0454545454545469	0.0626072041166394	1960	1
0.0626072041166394	0.079759862778732	1961	1
0.079759862778732	0.0969125214408246	1962	1
0.0969125214408246	0.114065180102917	1963	1
0.114065180102917	0.13121783876501	1964	1
0.13121783876501	0.148370497427102	1965	1
0.148370497427102	0.165523156089195	1966	1
0.165523156089195	0.182675814751287	1967	1
0.182675814751287	0.19982847341338	1968	1
0.19982847341338	0.216981132075473	1969	1
0.216981132075473	0.234133790737565	1970	1
0.234133790737565	0.251286449399658	1971	1
0.251286449399658	0.26843910806175	1972	1
0.26843910806175	0.285591766723843	1973	1
0.285591766723843	0.302744425385935	1974	1
0.302744425385935	0.319897084048028	1975	1
0.319897084048028	0.337049742710121	1976	1
0.337049742710121	0.354202401372213	1977	1
0.354202401372213	0.371355060034306	1978	1
0.371355060034306	0.388507718696398	1979	1
0.388507718696398	0.405660377358491	1980	1
0.405660377358491	0.422813036020583	1981	1
0.422813036020583	0.439965694682676	1982	1
0.439965694682676	0.457118353344769	1983	1
0.457118353344769	0.474271012006861	1984	1
0.474271012006861	0.491423670668954	1985	1
0.491423670668954	0.508576329331046	1986	1
0.508576329331046	0.525728987993139	1987	1
0.525728987993139	0.542881646655231	1988	1
0.542881646655231	0.560034305317324	1989	1
0.560034305317324	0.577186963979417	1990	1
0.577186963979417	0.594339622641509	1991	1
0.594339622641509	0.611492281303602	1992	1
0.611492281303602	0.628644939965694	1993	1
0.628644939965694	0.645797598627787	1994	1
0.645797598627787	0.662950257289879	1995	1
0.662950257289879	0.680102915951972	1996	1
0.680102915951972	0.697255574614065	1997	1
0.697255574614065	0.714408233276157	1998	1
0.714408233276157	0.73156089193825	1999	1
0.73156089193825	0.748713550600342	2000	1
0.748713550600342	0.765866209262435	2001	1
0.765866209262435	0.783018867924527	2002	1
0.783018867924527	0.80017152658662	2003	1
0.80017152658662	0.817324185248713	2004	1
0.817324185248713	0.834476843910805	2005	1
0.834476843910805	0.851629502572898	2006	1
0.851629502572898	0.86878216123499	2007	1
0.86878216123499	0.885934819897083	2008	1
0.885934819897083	0.903087478559175	2009	1
0.903087478559175	0.920240137221268	2010	1
0.920240137221268	0.937392795883361	2011	1
0.937392795883361	0.954545454545453	2012	1
