size	colour	x	y	clickSelects	tooltip	key	fill
2	#00C094	0.518781075623684	0.716341535889823	United Arab Emirates	United Arab Emirates population 1215380	United Arab Emirates	#00C094
3.8	#A58AFF	0.800822893371257	0.253162668098835	Afghanistan	Afghanistan population 12241928	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.37710879996526	0.729425712609549	Albania	Albania population 2930351	Albania	#C49A00
2.80498447189992	#C49A00	0.214484226067699	0.722827189260494	Armenia	Armenia population 3239212	Armenia	#C49A00
3.39427400463467	#FB61D7	0.735469092646069	0.259091952283134	Angola	Angola population 8489864	Angola	#FB61D7
4.66983145535444	#53B400	0.296665002062661	0.721583719330291	Argentina	Argentina population 29435404	Argentina	#53B400
3.39427400463467	#C49A00	0.122641509433962	0.764532456256329	Austria	Austria population 7561910	Austria	#C49A00
3.9718012070186	#F8766D	0.162157761035239	0.798465656154798	Australia	Australia population 15369000	Australia	#F8766D
2	#53B400	0.208730486136744	0.762670291629802	Aruba	Aruba population 62204	Aruba	#53B400
3.13841995766062	#C49A00	0.281792127146796	0.640497850853002	Azerbaijan	Azerbaijan population 6464775	Azerbaijan	#C49A00
3.13841995766062	#C49A00	0.169539917927785	0.737589594345679	Bosnia and Herzegovina	Bosnia and Herzegovina population 4215148	Bosnia and Herzegovina	#C49A00
2	#53B400	0.158358121458193	0.762020054144907	Barbados	Barbados population 251979	Barbados	#53B400
6.62428372831945	#A58AFF	0.594122500379964	0.504940246747454	Bangladesh	Bangladesh population 89399666	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.122641509433962	0.778563296666805	Belgium	Belgium population 9855520	Belgium	#C49A00
3.39427400463467	#FB61D7	0.719619167553249	0.367874289294419	Burkina Faso	Burkina Faso population 7340907	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.170408406973967	0.739879676802707	Bulgaria	Bulgaria population 8939738	Bulgaria	#C49A00
2	#00C094	0.45082180775995	0.7329429235521	Bahrain	Bahrain population 396447	Bahrain	#00C094
3.13841995766062	#FB61D7	0.660453351282107	0.373093290685456	Burundi	Burundi population 4486938	Burundi	#FB61D7
2.80498447189992	#FB61D7	0.714299672145385	0.347386678066662	Benin	Benin population 4045352	Benin	#FB61D7
2	#F8766D	0.377325922226806	0.744047505263751	Brunei Darussalam	Brunei Darussalam population 210925	Brunei Darussalam	#F8766D
3.13841995766062	#53B400	0.524209132162321	0.472962699740434	Bolivia	Bolivia population 5762673	Bolivia	#53B400
7.63489130329947	#53B400	0.357242113033849	0.619746496308752	Brazil	Brazil population 130455659	Brazil	#53B400
2	#53B400	0.275169898169659	0.695275133493452	Bahamas, The	Bahamas, The population 225184	Bahamas, The	#53B400
2	#A58AFF	0.647968821243242	0.378330533689162	Bhutan	Bhutan population 445008	Bhutan	#A58AFF
2	#FB61D7	0.591625594372191	0.593108041309501	Botswana	Botswana population 1108461	Botswana	#FB61D7
3.60996894379985	#C49A00	0.182350131358968	0.725477543567717	Belarus	Belarus population 9843000	Belarus	#C49A00
2	#53B400	0.532568339231821	0.734583148557831	Belize	Belize population 155820	Belize	#53B400
4.41495341569977	#00B6EB	0.135668845126691	0.812333082118458	Canada	Canada population 25456000	Canada	#00B6EB
4.66983145535444	#FB61D7	0.685856655882928	0.347452423878986	Congo, Dem. Rep.	Congo, Dem. Rep. population 28490510	Congo, Dem. Rep.	#FB61D7
2.80498447189992	#FB61D7	0.599767679180146	0.401237058763418	Central African Republic	Central African Republic population 2484402	Central African Republic	#FB61D7
2.80498447189992	#FB61D7	0.599441995787828	0.513433617612398	Congo, Rep.	Congo, Rep. population 1962375	Congo, Rep.	#FB61D7
3.13841995766062	#C49A00	0.117213452895325	0.812253275063035	Switzerland	Switzerland population 6418773	Switzerland	#C49A00
3.39427400463467	#FB61D7	0.74068002692316	0.44861432719821	Cote d'Ivoire	Cote d'Ivoire population 9386245	Cote d'Ivoire	#FB61D7
3.60996894379985	#53B400	0.24108170310702	0.733959133391148	Chile	Chile population 11731654	Chile	#53B400
3.60996894379985	#FB61D7	0.645580476366242	0.442600295521726	Cameroon	Cameroon population 9770555	Cameroon	#FB61D7
17.7126700468125	#F8766D	0.235762207699155	0.683997256461455	China	China population 1023310000	China	#F8766D
4.66983145535444	#53B400	0.34736305013353	0.670647816290847	Colombia	Colombia population 28803276	Colombia	#53B400
