size	colour	x	y	clickSelects	tooltip	key	fill
2.80498447189992	#00C094	0.429652387259266	0.751677819829341	United Arab Emirates	United Arab Emirates population 1806498	United Arab Emirates	#00C094
3.60996894379985	#A58AFF	0.817432746379486	0.287131971189044	Afghanistan	Afghanistan population 11731193	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.302744425385935	0.743916773706297	Albania	Albania population 3446882	Albania	#C49A00
2.80498447189992	#C49A00	0.2288142953297	0.683333337767059	Armenia	Armenia population 3544695	Armenia	#C49A00
3.60996894379985	#FB61D7	0.731126647415159	0.268622054801376	Angola	Angola population 10333844	Angola	#FB61D7
4.78854800926934	#53B400	0.277775365308205	0.741624031014086	Argentina	Argentina population 32624874	Argentina	#53B400
3.39427400463467	#C49A00	0.110699785048961	0.804443584639544	Austria	Austria population 7677850	Austria	#C49A00
3.9718012070186	#F8766D	0.159769416158239	0.827264602154419	Australia	Australia population 17065100	Australia	#F8766D
2	#53B400	0.197440128536379	0.771099056783214	Aruba	Aruba population 62148	Aruba	#53B400
3.39427400463467	#C49A00	0.250743643745793	0.63641971032091	Azerbaijan	Azerbaijan population 7159000	Azerbaijan	#C49A00
3.13841995766062	#C49A00	0.138708556788327	0.678808657758198	Bosnia and Herzegovina	Bosnia and Herzegovina population 4526511	Bosnia and Herzegovina	#C49A00
2	#53B400	0.143051002019237	0.787105691865795	Barbados	Barbados population 259336	Barbados	#53B400
7.09116882454314	#A58AFF	0.445936556875176	0.554224523773249	Bangladesh	Bangladesh population 107385847	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.129155177280327	0.812576303620698	Belgium	Belgium population 9967379	Belgium	#C49A00
3.39427400463467	#FB61D7	0.69627852443711	0.382547386484249	Burkina Faso	Burkina Faso population 8811033	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.149781792127147	0.743854828229946	Bulgaria	Bulgaria population 8718289	Bulgaria	#C49A00
2	#00C094	0.355939379464576	0.756685902573903	Bahrain	Bahrain population 495944	Bahrain	#00C094
3.13841995766062	#FB61D7	0.659476301105152	0.347864760332002	Burundi	Burundi population 5605873	Burundi	#FB61D7
3.13841995766062	#FB61D7	0.685422411359837	0.385593355766211	Benin	Benin population 5001271	Benin	#FB61D7
2	#F8766D	0.336724059317802	0.775207600003087	Brunei Darussalam	Brunei Darussalam population 256929	Brunei Darussalam	#F8766D
3.39427400463467	#53B400	0.486646980914953	0.543425489073787	Bolivia	Bolivia population 6794046	Bolivia	#53B400
8.02395219104534	#53B400	0.258234361769112	0.66126212653956	Brazil	Brazil population 149648341	Brazil	#53B400
2	#53B400	0.239778969537747	0.709507011676874	Bahamas, The	Bahamas, The population 256338	Bahamas, The	#53B400
2	#A58AFF	0.577838330764053	0.447001084577884	Bhutan	Bhutan population 535738	Bhutan	#A58AFF
2.80498447189992	#FB61D7	0.463306337798815	0.625057845863921	Botswana	Botswana population 1383912	Botswana	#FB61D7
3.60996894379985	#C49A00	0.160637905204421	0.731313719520689	Belarus	Belarus population 10189000	Belarus	#C49A00
2	#53B400	0.442679722951994	0.75702641267704	Belize	Belize population 187552	Belize	#53B400
4.54558441227157	#00B6EB	0.151953014742602	0.833223528959302	Canada	Canada population 27791000	Canada	#00B6EB
4.90241278938748	#FB61D7	0.722333195822568	0.357415004630899	Congo, Dem. Rep.	Congo, Dem. Rep. population 34910591	Congo, Dem. Rep.	#FB61D7
2.80498447189992	#FB61D7	0.580769481294917	0.388403324184278	Central African Republic	Central African Republic population 2912824	Central African Republic	#FB61D7
2.80498447189992	#FB61D7	0.534956684108822	0.503981041947995	Congo, Rep.	Congo, Rep. population 2383283	Congo, Rep.	#FB61D7
3.13841995766062	#C49A00	0.125898343357144	0.83112574350248	Switzerland	Switzerland population 6715519	Switzerland	#C49A00
