fill	x	y	tooltip	clickSelects	PANEL	group	xmin	xmax	ymin	ymax	colour	size
#FFFFFF	0.095959595959596	0.102272727272727	( 0 ,  Inf )	px=-2; pz=0.7	1	355	0.0454545454545455	0.146464646464646	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.095959595959596	0.215909090909091	( 0 ,  Inf )	px=-2; pz=1.2	1	379	0.0454545454545455	0.146464646464646	0.159090909090909	0.272727272727273	#FFFFFF	0
#FFFFFF	0.095959595959596	0.329545454545455	( 0 ,  Inf )	px=-2; pz=1.7	1	403	0.0454545454545455	0.146464646464646	0.272727272727273	0.386363636363636	#FFFFFF	0
#FFFFFF	0.095959595959596	0.443181818181818	( 0 ,  Inf )	px=-2; pz=2.2	1	427	0.0454545454545455	0.146464646464646	0.386363636363636	0.5	#FFFFFF	0
#FFFFFF	0.095959595959596	0.556818181818182	( 0 ,  Inf )	px=-2; pz=2.7	1	451	0.0454545454545455	0.146464646464646	0.5	0.613636363636364	#FFFFFF	0
#FFFFFF	0.095959595959596	0.670454545454545	( 0 ,  Inf )	px=-2; pz=3.2	1	475	0.0454545454545455	0.146464646464646	0.613636363636364	0.727272727272727	#FFFFFF	0
#FFFFFF	0.095959595959596	0.784090909090909	( 0 ,  Inf )	px=-2; pz=3.7	1	499	0.0454545454545455	0.146464646464646	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.095959595959596	0.897727272727273	( 0 ,  Inf )	px=-2; pz=4.2	1	523	0.0454545454545455	0.146464646464646	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.196969696969697	0.102272727272727	( 0 ,  Inf )	px=-1.5; pz=0.7	1	226	0.146464646464646	0.247474747474747	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.196969696969697	0.215909090909091	( 0 ,  Inf )	px=-1.5; pz=1.2	1	250	0.146464646464646	0.247474747474747	0.159090909090909	0.272727272727273	#FFFFFF	0
#FCFCFD	0.196969696969697	0.329545454545455	( 0.13 ,  1.15 )	px=-1.5; pz=1.7	1	1179	0.146464646464646	0.247474747474747	0.272727272727273	0.386363636363636	#FCFCFD	0
#EEEEF6	0.196969696969697	0.443181818181818	( 0.11 ,  0.31 )	px=-1.5; pz=2.2	1	1171	0.146464646464646	0.247474747474747	0.386363636363636	0.5	#EEEEF6	0
#F0F0F7	0.196969696969697	0.556818181818182	( 0.06 ,  0.21 )	px=-1.5; pz=2.7	1	1147	0.146464646464646	0.247474747474747	0.5	0.613636363636364	#F0F0F7	0
#FBFBFD	0.196969696969697	0.670454545454545	( 0.01 ,  0.19 )	px=-1.5; pz=3.2	1	1099	0.146464646464646	0.247474747474747	0.613636363636364	0.727272727272727	#FBFBFD	0
#FFFFFF	0.196969696969697	0.784090909090909	( 0 ,  0.06 )	px=-1.5; pz=3.7	1	3	0.146464646464646	0.247474747474747	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.196969696969697	0.897727272727273	( 0 ,  Inf )	px=-1.5; pz=4.2	1	331	0.146464646464646	0.247474747474747	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.297979797979798	0.102272727272727	( 0 ,  Inf )	px=-1; pz=0.7	1	154	0.247474747474747	0.348484848484849	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FEFDFD	0.297979797979798	0.215909090909091	( 0.67 ,  7.56 )	px=-1; pz=1.2	1	1347	0.247474747474747	0.348484848484849	0.159090909090909	0.272727272727273	#FEFDFD	0
#C79C9C	0.297979797979798	0.329545454545455	( 1.75 ,  2.28 )	px=-1; pz=1.7	1	1671	0.247474747474747	0.348484848484849	0.272727272727273	0.386363636363636	#C79C9C	0
#E7E7F2	0.297979797979798	0.443181818181818	( 0.89 ,  0.95 )	px=-1; pz=2.2	1	1412	0.247474747474747	0.348484848484849	0.386363636363636	0.5	#E7E7F2	0
#CECEE5	0.297979797979798	0.556818181818182	( 0.81 ,  0.87 )	px=-1; pz=2.7	1	1377	0.247474747474747	0.348484848484849	0.5	0.613636363636364	#CECEE5	0
#D4D4E8	0.297979797979798	0.670454545454545	( 0.61 ,  0.8 )	px=-1; pz=3.2	1	1324	0.247474747474747	0.348484848484849	0.613636363636364	0.727272727272727	#D4D4E8	0
#FBFBFD	0.297979797979798	0.784090909090909	( 0.06 ,  0.54 )	px=-1; pz=3.7	1	1149	0.247474747474747	0.348484848484849	0.727272727272727	0.840909090909091	#FBFBFD	0
#FFFFFF	0.297979797979798	0.897727272727273	( 0 ,  0.96 )	px=-1; pz=4.2	1	33	0.247474747474747	0.348484848484849	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.398989898989899	0.102272727272727	( 0 ,  Inf )	px=-0.5; pz=0.7	1	105	0.348484848484849	0.44949494949495	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FAF7F7	0.398989898989899	0.215909090909091	( 2.93 ,  12.07 )	px=-0.5; pz=1.2	1	1724	0.348484848484849	0.44949494949495	0.159090909090909	0.272727272727273	#FAF7F7	0
#AD6E6E	0.398989898989899	0.329545454545455	( 1.73 ,  1.97 )	px=-0.5; pz=1.7	1	1666	0.348484848484849	0.44949494949495	0.272727272727273	0.386363636363636	#AD6E6E	0
#FDFBFB	0.398989898989899	0.443181818181818	( 1.01 ,  1.01 )	px=-0.5; pz=2.2	1	1564	0.348484848484849	0.44949494949495	0.386363636363636	0.5	#FDFBFB	0
#FEFEFE	0.398989898989899	0.556818181818182	( 1 ,  1 )	px=-0.5; pz=2.7	1	1512	0.348484848484849	0.44949494949495	0.5	0.613636363636364	#FEFEFE	0
#FFFFFF	0.398989898989899	0.670454545454545	( 0.97 ,  1.03 )	px=-0.5; pz=3.2	1	1462	0.348484848484849	0.44949494949495	0.613636363636364	0.727272727272727	#FFFFFF	0
#FCFCFD	0.398989898989899	0.784090909090909	( 0.47 ,  1.41 )	px=-0.5; pz=3.7	1	1293	0.348484848484849	0.44949494949495	0.727272727272727	0.840909090909091	#FCFCFD	0
#FEFEFE	0.398989898989899	0.897727272727273	( 0 ,  2.43 )	px=-0.5; pz=4.2	1	65	0.348484848484849	0.44949494949495	0.840909090909091	0.954545454545454	#FEFEFE	0
#FFFFFF	0.5	0.102272727272727	( 0 ,  Inf )	px=0; pz=0.7	1	547	0.44949494949495	0.55050505050505	0.0454545454545455	0.159090909090909	#FFFFFF	0
