colour	x	xend	y	yend	tooltip	PANEL
#00BFC4	0.0454545454545455	0.0517732251469992	0.5	0.5	( 0 ,  0.01 )	1
#F8766D	0.0454545454545455	0.0455481968529483	0.5	0.5	( 0 ,  0 )	1
#00BFC4	0.0466558386660745	0.0495487153055712	0.5	0.5	( 0 ,  0 )	2
#F8766D	0.0454545454545454	0.0458848930653595	0.5	0.5	( 0 ,  0 )	2
#00BFC4	0.0454545454545455	0.0464518338767981	0.5	0.5	( 0 ,  0 )	3
#F8766D	0.0454545454545455	0.0459113925796429	0.5	0.5	( 0 ,  0 )	3
#00BFC4	0.0454545454545454	0.0463748523458398	0.5	0.5	( 0 ,  0 )	4
#F8766D	0.0454545454545454	0.045574756322678	0.5	0.5	( 0 ,  0 )	4
#00BFC4	0.0454545454545455	0.0463467501254868	0.5	0.5	( 0 ,  0 )	5
#F8766D	0.0454545454545455	0.046626501550709	0.5	0.5	( 0 ,  0 )	5
#00BFC4	0.0454545454545455	0.0462970632189106	0.5	0.5	( 0 ,  0 )	6
#F8766D	0.0454545454545455	0.0467327733396834	0.5	0.5	( 0 ,  0 )	6
#00BFC4	0.0454545454545455	0.0572332237494065	0.5	0.5	( 0 ,  0.01 )	7
#F8766D	0.0454545454545455	0.0458159549517966	0.5	0.5	( 0 ,  0 )	7
#00BFC4	0.0474216738087781	0.0560863498171611	0.5	0.5	( 0 ,  0.01 )	8
#F8766D	0.0454545454545455	0.0486614489177897	0.5	0.5	( 0 ,  0 )	8
#00BFC4	0.0454545454545455	0.0495134848080397	0.5	0.5	( 0 ,  0 )	9
#F8766D	0.0454545454545455	0.0457931410698953	0.5	0.5	( 0 ,  0 )	9
#00BFC4	0.0474264141735882	0.055317586490088	0.5	0.5	( 0 ,  0.01 )	10
#F8766D	0.0454545454545454	0.0464857078723377	0.5	0.5	( 0 ,  0 )	10
#00BFC4	0.0454545454545455	0.0484591737369288	0.5	0.5	( 0 ,  0 )	11
#F8766D	0.0454545454545455	0.0467715048993691	0.5	0.5	( 0 ,  0 )	11
#00BFC4	0.0454545454545455	0.0484056784988379	0.5	0.5	( 0 ,  0 )	12
#F8766D	0.0454545454545455	0.0464282359814644	0.5	0.5	( 0 ,  0 )	12
#00BFC4	0.0454545454545455	0.0630989514761529	0.5	0.5	( 0 ,  0.02 )	13
#F8766D	0.0454545454545455	0.0463329017662684	0.5	0.5	( 0 ,  0 )	13
#00BFC4	0.0470356852668482	0.0682162433678221	0.5	0.5	( 0 ,  0.03 )	14
#F8766D	0.0454545454545455	0.0495850701695136	0.5	0.5	( 0 ,  0 )	14
#00BFC4	0.0454545454545455	0.0485968702727786	0.5	0.5	( 0 ,  0 )	15
#F8766D	0.0454545454545455	0.0464358683403377	0.5	0.5	( 0 ,  0 )	15
#00BFC4	0.0454545454545455	0.0493589871683925	0.5	0.5	( 0 ,  0 )	16
#F8766D	0.0454545454545455	0.0501391344999001	0.5	0.5	( 0 ,  0.01 )	16
#00BFC4	0.0454545454545455	0.0476198971461063	0.5	0.5	( 0 ,  0 )	17
#F8766D	0.0454545454545455	0.0465719266796478	0.5	0.5	( 0 ,  0 )	17
#00BFC4	0.045998672838639	0.0529979946495721	0.5	0.5	( 0 ,  0.01 )	18
#F8766D	0.0454545454545455	0.0461307076668823	0.5	0.5	( 0 ,  0 )	18
#00BFC4	0.0454545454545455	0.0546650697583194	0.5	0.5	( 0 ,  0.01 )	19
#F8766D	0.0454545454545455	0.047106801680092	0.5	0.5	( 0 ,  0 )	19
#00BFC4	0.0454545454545455	0.083579680612131	0.5	0.5	( 0 ,  0.04 )	20
#F8766D	0.0454545454545455	0.0516417355285057	0.5	0.5	( 0 ,  0.01 )	20
#00BFC4	0.0454545454545455	0.0611224799379671	0.5	0.5	( 0 ,  0.02 )	21
#F8766D	0.0454545454545455	0.0466361532293591	0.5	0.5	( 0 ,  0 )	21
#00BFC4	0.0454545454545455	0.052795021348874	0.5	0.5	( 0 ,  0.01 )	22
#F8766D	0.0454545454545455	0.0477561730848119	0.5	0.5	( 0 ,  0 )	22
#00BFC4	0.0454545454545455	0.0465940785231869	0.5	0.5	( 0 ,  0 )	23
#F8766D	0.0454545454545455	0.0457384484358263	0.5	0.5	( 0 ,  0 )	23
#00BFC4	0.0454545454545455	0.0507359040159444	0.5	0.5	( 0 ,  0.01 )	24
#F8766D	0.0454545454545455	0.0465687534391209	0.5	0.5	( 0 ,  0 )	24
