colour	x	xend	y	yend	tooltip	PANEL
#00BFC4	0.0514050710233165	0.0601505100989974	0.5	0.5	( 0.01 ,  0.02 )	1
#F8766D	0.047390008193591	0.0522789398510132	0.5	0.5	( 0 ,  0.01 )	1
#00BFC4	0.0486655630460961	0.0591085396938313	0.5	0.5	( 0 ,  0.02 )	2
#F8766D	0.0461281176952088	0.0517570049248574	0.5	0.5	( 0 ,  0.01 )	2
#00BFC4	0.0463976985598722	0.0525344056545326	0.5	0.5	( 0 ,  0.01 )	3
#F8766D	0.0457228101357605	0.0497035847184597	0.5	0.5	( 0 ,  0 )	3
#00BFC4	0.0459629867398715	0.0555162676213775	0.5	0.5	( 0 ,  0.01 )	4
#F8766D	0.0454545454545454	0.0483910411679758	0.5	0.5	( 0 ,  0 )	4
#00BFC4	0.0454545454545455	0.0508191934881781	0.5	0.5	( 0 ,  0.01 )	5
#F8766D	0.0454545454545455	0.052856056500396	0.5	0.5	( 0 ,  0.01 )	5
#00BFC4	0.0454545454545455	0.0528281701890565	0.5	0.5	( 0 ,  0.01 )	6
#F8766D	0.0454545454545455	0.0496310818582845	0.5	0.5	( 0 ,  0 )	6
#00BFC4	0.0603427103425528	0.086611639652249	0.5	0.5	( 0.02 ,  0.05 )	7
#F8766D	0.0462663175493579	0.0530076424818749	0.5	0.5	( 0 ,  0.01 )	7
#00BFC4	0.0454545454545455	0.0546175598392436	0.5	0.5	( 0 ,  0.01 )	8
#F8766D	0.0454545454545455	0.0573459361646962	0.5	0.5	( 0 ,  0.01 )	8
#00BFC4	0.0513565438563737	0.0690147965761015	0.5	0.5	( 0.01 ,  0.03 )	9
#F8766D	0.0454545454545455	0.0487304635811358	0.5	0.5	( 0 ,  0 )	9
#00BFC4	0.0454545454545454	0.0534147095959095	0.5	0.5	( 0 ,  0.01 )	10
#F8766D	0.0454545454545454	0.0490758919154727	0.5	0.5	( 0 ,  0 )	10
#00BFC4	0.0454545454545455	0.0567376246671258	0.5	0.5	( 0 ,  0.01 )	11
#F8766D	0.0454545454545455	0.0486471001261449	0.5	0.5	( 0 ,  0 )	11
#00BFC4	0.0454545454545455	0.0507105326994318	0.5	0.5	( 0 ,  0.01 )	12
#F8766D	0.0454545454545455	0.0520152824301793	0.5	0.5	( 0 ,  0.01 )	12
#00BFC4	0.0515968188698347	0.0911963179175849	0.5	0.5	( 0.01 ,  0.05 )	13
#F8766D	0.0454545454545455	0.0568134672785355	0.5	0.5	( 0 ,  0.01 )	13
#00BFC4	0.0454545454545455	0.0748003938052759	0.5	0.5	( 0 ,  0.03 )	14
#F8766D	0.0454545454545455	0.0588936964766481	0.5	0.5	( 0 ,  0.01 )	14
#00BFC4	0.0490894971270066	0.0762677459176212	0.5	0.5	( 0 ,  0.03 )	15
#F8766D	0.0454545454545455	0.058303644425257	0.5	0.5	( 0 ,  0.01 )	15
#00BFC4	0.0454545454545455	0.0652093031668845	0.5	0.5	( 0 ,  0.02 )	16
#F8766D	0.0454545454545455	0.0569446934887721	0.5	0.5	( 0 ,  0.01 )	16
#00BFC4	0.0454545454545455	0.0537965122941462	0.5	0.5	( 0 ,  0.01 )	17
#F8766D	0.0454545454545455	0.0541867016625071	0.5	0.5	( 0 ,  0.01 )	17
#00BFC4	0.0454545454545455	0.0585663091839033	0.5	0.5	( 0 ,  0.01 )	18
#F8766D	0.0454545454545455	0.0598841591871811	0.5	0.5	( 0 ,  0.02 )	18
#00BFC4	0.0454545454545455	0.11896776395183	0.5	0.5	( 0 ,  0.08 )	19
#F8766D	0.0454545454545455	0.0890505458736254	0.5	0.5	( 0 ,  0.05 )	19
#00BFC4	0.0454545454545455	0.0631673318046791	0.5	0.5	( 0 ,  0.02 )	20
#F8766D	0.0454545454545455	0.103664994719296	0.5	0.5	( 0 ,  0.06 )	20
#00BFC4	0.0454545454545455	0.0732435416523552	0.5	0.5	( 0 ,  0.03 )	21
#F8766D	0.0454545454545455	0.0769290397577439	0.5	0.5	( 0 ,  0.03 )	21
#00BFC4	0.0454545454545455	0.0648257832859557	0.5	0.5	( 0 ,  0.02 )	22
#F8766D	0.0454545454545455	0.0573979338640302	0.5	0.5	( 0 ,  0.01 )	22
#00BFC4	0.0454545454545455	0.064517023914518	0.5	0.5	( 0 ,  0.02 )	23
#F8766D	0.0454545454545455	0.0683569131731436	0.5	0.5	( 0 ,  0.03 )	23
#00BFC4	0.0454545454545455	0.0635967348788095	0.5	0.5	( 0 ,  0.02 )	24
#F8766D	0.0454545454545455	0.0536212402180444	0.5	0.5	( 0 ,  0.01 )	24
