x	y	label	PANEL
0.803030303030303	0.875	0	1
0.803030303030303	0.875	0	2
0.803030303030303	0.875	0	3
0.803030303030303	0.875	0	4
0.803030303030303	0.875	0	5
0.803030303030303	0.875	3.8	6
0.803030303030303	0.875	0	7
0.803030303030303	0.875	0	8
0.803030303030303	0.875	5.4	9
0.803030303030303	0.875	0	10
0.803030303030303	0.875	0.1	11
0.803030303030303	0.875	9.6	12
0.803030303030303	0.875	0	13
0.803030303030303	0.875	0.1	14
0.803030303030303	0.875	0.2	15
0.803030303030303	0.875	0.9	16
0.803030303030303	0.875	0.3	17
0.803030303030303	0.875	0.2	18
0.803030303030303	0.875	0.8	19
0.803030303030303	0.875	0	20
0.803030303030303	0.875	0	21
0.803030303030303	0.875	0.1	22
0.803030303030303	0.875	0	23
0.803030303030303	0.875	0.3	24
