colour	x	xend	y	yend	tooltip	PANEL
#00BFC4	0.459834011955493	0.504969189647124	0.5	0.5	( 0.46 ,  0.51 )	1
#F8766D	0.840120813209403	0.862156328777103	0.5	0.5	( 0.87 ,  0.9 )	1
#00BFC4	0.27804200550788	0.318895506852455	0.5	0.5	( 0.26 ,  0.3 )	2
#F8766D	0.683214559048528	0.722873395089555	0.5	0.5	( 0.7 ,  0.74 )	2
#00BFC4	0.293817825426567	0.374060246791007	0.5	0.5	( 0.27 ,  0.36 )	3
#F8766D	0.741881313566567	0.800720530795132	0.5	0.5	( 0.76 ,  0.83 )	3
#00BFC4	0.183515049513659	0.249211552212562	0.5	0.5	( 0.15 ,  0.22 )	4
#F8766D	0.614879459869027	0.694325600541225	0.5	0.5	( 0.62 ,  0.71 )	4
#00BFC4	0.0987380440417073	0.20731765329368	0.5	0.5	( 0.06 ,  0.18 )	5
#F8766D	0.470596213881969	0.653081326072872	0.5	0.5	( 0.47 ,  0.67 )	5
#00BFC4	0.0944557505190998	0.190724373316824	0.5	0.5	( 0.05 ,  0.16 )	6
#F8766D	0.417230671443059	0.585395520511885	0.5	0.5	( 0.41 ,  0.59 )	6
#00BFC4	0.522843239219835	0.594422568195918	0.5	0.5	( 0.52 ,  0.6 )	7
#F8766D	0.844203901024769	0.87842862508619	0.5	0.5	( 0.88 ,  0.92 )	7
#00BFC4	0.32386541355716	0.40084912953396	0.5	0.5	( 0.31 ,  0.39 )	8
#F8766D	0.719315719034423	0.78098686969397	0.5	0.5	( 0.74 ,  0.81 )	8
#00BFC4	0.322045289099786	0.413687563895807	0.5	0.5	( 0.3 ,  0.4 )	9
#F8766D	0.775787723480726	0.83434220203853	0.5	0.5	( 0.8 ,  0.87 )	9
#00BFC4	0.217649053206301	0.29389055396203	0.5	0.5	( 0.19 ,  0.27 )	10
#F8766D	0.667340197239942	0.750010080362157	0.5	0.5	( 0.68 ,  0.77 )	10
#00BFC4	0.177718227720114	0.29951728676108	0.5	0.5	( 0.15 ,  0.28 )	11
#F8766D	0.613781947634732	0.73830206086747	0.5	0.5	( 0.63 ,  0.76 )	11
#00BFC4	0.166681896066529	0.273988886519722	0.5	0.5	( 0.13 ,  0.25 )	12
#F8766D	0.506318599401119	0.638009053636767	0.5	0.5	( 0.51 ,  0.65 )	12
#00BFC4	0.512688299423174	0.631827836350417	0.5	0.5	( 0.51 ,  0.65 )	13
#F8766D	0.879822168515919	0.920744219003592	0.5	0.5	( 0.92 ,  0.96 )	13
#00BFC4	0.372597883270465	0.501762732559602	0.5	0.5	( 0.36 ,  0.5 )	14
#F8766D	0.736370193402817	0.830875117191141	0.5	0.5	( 0.76 ,  0.86 )	14
#00BFC4	0.438111950321029	0.563994120887204	0.5	0.5	( 0.43 ,  0.57 )	15
#F8766D	0.847246476654773	0.90076770086377	0.5	0.5	( 0.88 ,  0.94 )	15
#00BFC4	0.23171793308033	0.345024985097266	0.5	0.5	( 0.2 ,  0.33 )	16
#F8766D	0.732171770377416	0.828972761163175	0.5	0.5	( 0.76 ,  0.86 )	16
#00BFC4	0.246598300920924	0.388860154610112	0.5	0.5	( 0.22 ,  0.38 )	17
#F8766D	0.717509638420314	0.821833171394627	0.5	0.5	( 0.74 ,  0.85 )	17
#00BFC4	0.231308340937521	0.361786781667012	0.5	0.5	( 0.2 ,  0.35 )	18
#F8766D	0.58083544439111	0.716406404042223	0.5	0.5	( 0.59 ,  0.74 )	18
#00BFC4	0.63073960589107	0.777140851398876	0.5	0.5	( 0.64 ,  0.8 )	19
#F8766D	0.882044254929485	0.934963443408055	0.5	0.5	( 0.92 ,  0.98 )	19
#00BFC4	0.412269046470641	0.603074699168486	0.5	0.5	( 0.4 ,  0.61 )	20
#F8766D	0.787059298714314	0.895245853009069	0.5	0.5	( 0.82 ,  0.93 )	20
#00BFC4	0.48921529329112	0.657407259241424	0.5	0.5	( 0.49 ,  0.67 )	21
#F8766D	0.849761538992813	0.916771158098612	0.5	0.5	( 0.88 ,  0.96 )	21
#00BFC4	0.244883136566178	0.415349034474215	0.5	0.5	( 0.22 ,  0.41 )	22
#F8766D	0.672564352806803	0.825964785532917	0.5	0.5	( 0.69 ,  0.86 )	22
#00BFC4	0.280045743082372	0.462155240147702	0.5	0.5	( 0.26 ,  0.46 )	23
#F8766D	0.80166418562532	0.895748045977149	0.5	0.5	( 0.83 ,  0.94 )	23
#00BFC4	0.233054431366854	0.394719269725877	0.5	0.5	( 0.21 ,  0.38 )	24
#F8766D	0.708992413416394	0.828651429960326	0.5	0.5	( 0.73 ,  0.86 )	24
