colour	x	xend	y	yend	tooltip	PANEL
#00BFC4	0.173393375983597	0.219430321724597	0.5	0.5	( 0.14 ,  0.19 )	1
#F8766D	0.150997577260618	0.198207386170592	0.5	0.5	( 0.12 ,  0.17 )	1
#00BFC4	0.574474506123393	0.607929756826163	0.5	0.5	( 0.58 ,  0.62 )	2
#F8766D	0.408714697310812	0.448192985906166	0.5	0.5	( 0.4 ,  0.44 )	2
#00BFC4	0.170551418602231	0.239670369414097	0.5	0.5	( 0.14 ,  0.21 )	3
#F8766D	0.0918957886553011	0.134685313229451	0.5	0.5	( 0.05 ,  0.1 )	3
#00BFC4	0.437158370993735	0.499430022643585	0.5	0.5	( 0.43 ,  0.5 )	4
#F8766D	0.277269488859125	0.335387975848149	0.5	0.5	( 0.25 ,  0.32 )	4
#00BFC4	0.110951094034621	0.225622028863562	0.5	0.5	( 0.07 ,  0.2 )	5
#F8766D	0.0889831560907222	0.183294826978533	0.5	0.5	( 0.05 ,  0.15 )	5
#00BFC4	0.368019562020713	0.485963302263685	0.5	0.5	( 0.35 ,  0.48 )	6
#F8766D	0.199678713937387	0.288072961604979	0.5	0.5	( 0.17 ,  0.27 )	6
#00BFC4	0.196690792739349	0.278009515169247	0.5	0.5	( 0.17 ,  0.26 )	7
#F8766D	0.161718070636754	0.24529069065681	0.5	0.5	( 0.13 ,  0.22 )	7
#00BFC4	0.588900988890145	0.644480863268126	0.5	0.5	( 0.6 ,  0.66 )	8
#F8766D	0.410593296958408	0.476638714522847	0.5	0.5	( 0.4 ,  0.47 )	8
#00BFC4	0.200062267465473	0.283104474046365	0.5	0.5	( 0.17 ,  0.26 )	9
#F8766D	0.0857472987755924	0.134468273232496	0.5	0.5	( 0.04 ,  0.1 )	9
#00BFC4	0.487133779398964	0.558141633311875	0.5	0.5	( 0.49 ,  0.56 )	10
#F8766D	0.336412486823069	0.412260628271028	0.5	0.5	( 0.32 ,  0.4 )	10
#00BFC4	0.200231151113586	0.309497005991639	0.5	0.5	( 0.17 ,  0.29 )	11
#F8766D	0.10478935097484	0.182043815755339	0.5	0.5	( 0.07 ,  0.15 )	11
#00BFC4	0.427874107004819	0.5276606097226	0.5	0.5	( 0.42 ,  0.53 )	12
#F8766D	0.297849415878544	0.391642238944974	0.5	0.5	( 0.28 ,  0.38 )	12
#00BFC4	0.138438457978642	0.260682376877752	0.5	0.5	( 0.1 ,  0.24 )	13
#F8766D	0.109333642302042	0.244935529026773	0.5	0.5	( 0.07 ,  0.22 )	13
#00BFC4	0.631973510108716	0.716321406661555	0.5	0.5	( 0.65 ,  0.74 )	14
#F8766D	0.468142364405324	0.581725187191638	0.5	0.5	( 0.46 ,  0.59 )	14
#00BFC4	0.167563520835479	0.282147344662221	0.5	0.5	( 0.13 ,  0.26 )	15
#F8766D	0.0980678922981164	0.187537649602829	0.5	0.5	( 0.06 ,  0.16 )	15
#00BFC4	0.54248255078206	0.636067040683889	0.5	0.5	( 0.55 ,  0.65 )	16
#F8766D	0.311929053987086	0.414347184284249	0.5	0.5	( 0.29 ,  0.41 )	16
#00BFC4	0.216966792024435	0.340815070132602	0.5	0.5	( 0.19 ,  0.32 )	17
#F8766D	0.140213945021254	0.23430268831897	0.5	0.5	( 0.1 ,  0.21 )	17
#00BFC4	0.476486912825645	0.582357889803536	0.5	0.5	( 0.47 ,  0.59 )	18
#F8766D	0.292372251940244	0.398916631432589	0.5	0.5	( 0.27 ,  0.39 )	18
#00BFC4	0.138197952301852	0.385403658437429	0.5	0.5	( 0.1 ,  0.37 )	19
#F8766D	0.0503090686092966	0.185501903716102	0.5	0.5	( 0.01 ,  0.15 )	19
#00BFC4	0.521543230454099	0.677381549003517	0.5	0.5	( 0.52 ,  0.7 )	20
#F8766D	0.35856619747715	0.575011314195768	0.5	0.5	( 0.34 ,  0.58 )	20
#00BFC4	0.142597489475402	0.299814135034256	0.5	0.5	( 0.11 ,  0.28 )	21
#F8766D	0.0675693021560786	0.210619472474151	0.5	0.5	( 0.02 ,  0.18 )	21
#00BFC4	0.516563859714499	0.654746733962851	0.5	0.5	( 0.52 ,  0.67 )	22
#F8766D	0.313907256308812	0.483272249326223	0.5	0.5	( 0.3 ,  0.48 )	22
#00BFC4	0.106746737444594	0.228120586119147	0.5	0.5	( 0.07 ,  0.2 )	23
#F8766D	0.101094081642647	0.23052570211293	0.5	0.5	( 0.06 ,  0.2 )	23
#00BFC4	0.405644798589928	0.560125906405106	0.5	0.5	( 0.4 ,  0.57 )	24
#F8766D	0.254810742412254	0.397351257179117	0.5	0.5	( 0.23 ,  0.39 )	24
