x	y	label	PANEL
0.702020202020202	0.193181818181818	0	1
0.702020202020202	0.193181818181818	0.6	2
0.702020202020202	0.193181818181818	2.3	3
0.702020202020202	0.193181818181818	2.4	4
0.702020202020202	0.193181818181818	1.4	5
0.702020202020202	0.193181818181818	5.9	6
0.702020202020202	0.193181818181818	0.3	7
0.702020202020202	0.193181818181818	1	8
0.702020202020202	0.193181818181818	0.1	9
0.702020202020202	0.193181818181818	1.9	10
0.702020202020202	0.193181818181818	0.5	11
0.702020202020202	0.193181818181818	2.8	12
0.702020202020202	0.193181818181818	0.1	13
0.702020202020202	0.193181818181818	0.4	14
0.702020202020202	0.193181818181818	3.4	15
0.702020202020202	0.193181818181818	0.7	16
0.702020202020202	0.193181818181818	0.8	17
0.702020202020202	0.193181818181818	0.4	18
0.702020202020202	0.193181818181818	0.7	19
0.702020202020202	0.193181818181818	0.4	20
0.702020202020202	0.193181818181818	0.5	21
0.702020202020202	0.193181818181818	0.9	22
0.702020202020202	0.193181818181818	0.1	23
0.702020202020202	0.193181818181818	2.5	24
