x	y	label	PANEL
0.5	0.193181818181818	4.3	1
0.5	0.193181818181818	2.7	2
0.5	0.193181818181818	6.9	3
0.5	0.193181818181818	4.5	4
0.5	0.193181818181818	6.9	5
0.5	0.193181818181818	1.2	6
0.5	0.193181818181818	5.8	7
0.5	0.193181818181818	4	8
0.5	0.193181818181818	3.2	9
0.5	0.193181818181818	9.6	10
0.5	0.193181818181818	4	11
0.5	0.193181818181818	1.5	12
0.5	0.193181818181818	5.4	13
0.5	0.193181818181818	4.7	14
0.5	0.193181818181818	15.6	15
0.5	0.193181818181818	3.8	16
0.5	0.193181818181818	1.9	17
0.5	0.193181818181818	7.2	18
0.5	0.193181818181818	1.5	19
0.5	0.193181818181818	6.7	20
0.5	0.193181818181818	8.7	21
0.5	0.193181818181818	3	22
0.5	0.193181818181818	2.5	23
0.5	0.193181818181818	6.7	24
