colour	x	xend	y	yend	tooltip	PANEL
#00BFC4	0.0454545454545455	0.0455335303878663	0.5	0.5	( 0 ,  0 )	1
#F8766D	0.0454545454545455	0.0454546364167506	0.5	0.5	( 0 ,  0 )	1
#00BFC4	0.0454545454545454	0.0457304866714033	0.5	0.5	( 0 ,  0 )	2
#F8766D	0.0454545454545454	0.0454552146388479	0.5	0.5	( 0 ,  0 )	2
#00BFC4	0.0454545454545455	0.045610802561734	0.5	0.5	( 0 ,  0 )	3
#F8766D	0.0454545454545455	0.0454560020814433	0.5	0.5	( 0 ,  0 )	3
#00BFC4	0.0454545454545454	0.0466289355679881	0.5	0.5	( 0 ,  0 )	4
#F8766D	0.0454545454545454	0.0454545885208511	0.5	0.5	( 0 ,  0 )	4
#00BFC4	0.0454545454545455	0.0454565359609809	0.5	0.5	( 0 ,  0 )	5
#F8766D	0.0454545454545455	0.0454552666868657	0.5	0.5	( 0 ,  0 )	5
#00BFC4	0.0454545454545455	0.0455794874102879	0.5	0.5	( 0 ,  0 )	6
#F8766D	0.0454545454545455	0.045478305999741	0.5	0.5	( 0 ,  0 )	6
#00BFC4	0.0454545454545455	0.0455667649253012	0.5	0.5	( 0 ,  0 )	7
#F8766D	0.0454545454545455	0.0454546268677155	0.5	0.5	( 0 ,  0 )	7
#00BFC4	0.0454545454545455	0.0454934265944245	0.5	0.5	( 0 ,  0 )	8
#F8766D	0.0454545454545455	0.0454593688354156	0.5	0.5	( 0 ,  0 )	8
#00BFC4	0.0454545454545455	0.0458023034853048	0.5	0.5	( 0 ,  0 )	9
#F8766D	0.0454545454545455	0.0454551103139696	0.5	0.5	( 0 ,  0 )	9
#00BFC4	0.0454545454545454	0.0454644069723207	0.5	0.5	( 0 ,  0 )	10
#F8766D	0.0454545454545454	0.0454572701870313	0.5	0.5	( 0 ,  0 )	10
#00BFC4	0.0454545454545455	0.0454561065482733	0.5	0.5	( 0 ,  0 )	11
#F8766D	0.0454545454545455	0.0454550617156378	0.5	0.5	( 0 ,  0 )	11
#00BFC4	0.0454545454545455	0.045534553569206	0.5	0.5	( 0 ,  0 )	12
#F8766D	0.0454545454545455	0.0454979902544496	0.5	0.5	( 0 ,  0 )	12
#00BFC4	0.0454545454545455	0.0455860250396051	0.5	0.5	( 0 ,  0 )	13
#F8766D	0.0454545454545455	0.0454584978020432	0.5	0.5	( 0 ,  0 )	13
#00BFC4	0.0454545454545455	0.0459392982891383	0.5	0.5	( 0 ,  0 )	14
#F8766D	0.0454545454545455	0.0456262286626934	0.5	0.5	( 0 ,  0 )	14
#00BFC4	0.0454545454545455	0.0455116990162857	0.5	0.5	( 0 ,  0 )	15
#F8766D	0.0454545454545455	0.0454626226668103	0.5	0.5	( 0 ,  0 )	15
#00BFC4	0.0454545454545455	0.045531897902416	0.5	0.5	( 0 ,  0 )	16
#F8766D	0.0454545454545455	0.0454560388440755	0.5	0.5	( 0 ,  0 )	16
#00BFC4	0.0454545454545455	0.0468411016366742	0.5	0.5	( 0 ,  0 )	17
#F8766D	0.0454545454545455	0.0454617848938501	0.5	0.5	( 0 ,  0 )	17
#00BFC4	0.0454545454545455	0.045602396550407	0.5	0.5	( 0 ,  0 )	18
#F8766D	0.0454545454545455	0.0454860309896945	0.5	0.5	( 0 ,  0 )	18
#00BFC4	0.0454545454545455	0.0466943533172927	0.5	0.5	( 0 ,  0 )	19
#F8766D	0.0454545454545455	0.0456524905819605	0.5	0.5	( 0 ,  0 )	19
#00BFC4	0.0454545454545455	0.0455053434746597	0.5	0.5	( 0 ,  0 )	20
#F8766D	0.0454545454545455	0.0506439090688072	0.5	0.5	( 0 ,  0.01 )	20
#00BFC4	0.0454545454545455	0.0456489762640009	0.5	0.5	( 0 ,  0 )	21
#F8766D	0.0454545454545455	0.0455196460976496	0.5	0.5	( 0 ,  0 )	21
#00BFC4	0.0454545454545455	0.0457709766128182	0.5	0.5	( 0 ,  0 )	22
#F8766D	0.0454545454545455	0.0454958549725977	0.5	0.5	( 0 ,  0 )	22
#00BFC4	0.0454545454545455	0.0455550835056963	0.5	0.5	( 0 ,  0 )	23
#F8766D	0.0454545454545455	0.0454566612869703	0.5	0.5	( 0 ,  0 )	23
#00BFC4	0.0454545454545455	0.0455258253679589	0.5	0.5	( 0 ,  0 )	24
#F8766D	0.0454545454545455	0.0455171639907495	0.5	0.5	( 0 ,  0 )	24
