colour	linetype	x	y	group	PANEL
#F8766D	solid	0.0476087893149571	0.183544303797468	1	1
#F8766D	solid	0.0571832064723125	0.0684695051783659	1	1
#F8766D	solid	0.0667576236296679	0.160529344073648	1	1
#F8766D	solid	0.0715448322083456	0.172036823935558	1	1
#F8766D	solid	0.081119249365701	0.102991944764097	1	1
#F8766D	solid	0.109842500837767	0.229574223245109	1	1
#F8766D	solid	0.114629709416445	0.114499424626007	1	1
#F8766D	solid	0.1242041265738	0.172036823935558	1	1
#F8766D	solid	0.128991335152478	0.229574223245109	1	1
#F8766D	solid	0.138565752309833	0.26409666283084	1	1
#F8766D	solid	0.162501795203222	0.344649021864212	1	1
#F8766D	solid	0.176863420939255	0.310126582278481	1	1
#F8766D	solid	0.191225046675288	0.24108170310702	1	1
#F8766D	solid	0.196012255253966	0.102991944764097	1	1
#F8766D	solid	0.200799463832644	0.137514384349827	1	1
#F8766D	solid	0.219948298147354	0.172036823935558	1	1
#F8766D	solid	0.239097132462065	0.195051783659379	1	1
#F8766D	solid	0.243884341040743	0.195051783659379	1	1
#F8766D	solid	0.263033175355454	0.26409666283084	1	1
#F8766D	solid	0.272607592512809	0.114499424626007	1	1
#F8766D	solid	0.277394801091487	0.137514384349827	1	1
#F8766D	solid	0.310905261142231	0.149021864211738	1	1
#F8766D	solid	0.325266886878264	0.195051783659379	1	1
#F8766D	solid	0.344415721192975	0.229574223245109	1	1
#F8766D	solid	0.358777346929008	0.0569620253164557	1	1
#F8766D	solid	0.363564555507685	0.183544303797468	1	1
#F8766D	solid	0.387500598401074	0.102991944764097	1	1
#F8766D	solid	0.41622384987314	0.229574223245109	1	1
#F8766D	solid	0.425798267030496	0.137514384349827	1	1
#F8766D	solid	0.435372684187851	0.26409666283084	1	1
#F8766D	solid	0.444947101345206	0.195051783659379	1	1
#F8766D	solid	0.464095935659917	0.195051783659379	1	1
#F8766D	solid	0.47845756139595	0.172036823935558	1	1
#F8766D	solid	0.488031978553306	0.126006904487917	1	1
#F8766D	solid	0.497606395710661	0.26409666283084	1	1
#F8766D	solid	0.526329647182727	0.126006904487917	1	1
#F8766D	solid	0.559840107233471	0.28711162255466	1	1
#F8766D	solid	0.569414524390827	0.137514384349827	1	1
#F8766D	solid	0.578988941548182	0.137514384349827	1	1
#F8766D	solid	0.598137775862893	0.310126582278481	1	1
#F8766D	solid	0.607712193020248	0.172036823935558	1	1
#F8766D	solid	0.631648235913637	0.160529344073648	1	1
#F8766D	solid	0.636435444492314	0.114499424626007	1	1
#F8766D	solid	0.655584278807025	0.195051783659379	1	1
#F8766D	solid	0.665158695964381	0.114499424626007	1	1
#F8766D	solid	0.674733113121736	0.24108170310702	1	1
#F8766D	solid	0.684307530279092	0.160529344073648	1	1
#F8766D	solid	0.703456364593802	0.183544303797468	1	1
#F8766D	solid	0.70824357317248	0.195051783659379	1	1
#F8766D	solid	0.732179616065869	0.160529344073648	1	1
#F8766D	solid	0.746541241801902	0.172036823935558	1	1
#F8766D	solid	0.77047728469529	0.229574223245109	1	1
#F8766D	solid	0.775264493273968	0.229574223245109	1	1
#F8766D	solid	0.784838910431323	0.321634062140391	1	1
#F8766D	solid	0.789626119010001	0.149021864211738	1	1
#F8766D	solid	0.803987744746034	0.24108170310702	1	1
#F8766D	solid	0.808774953324712	0.195051783659379	1	1
#F8766D	solid	0.8327109962181	0.183544303797468	1	1
#F8766D	solid	0.842285413375456	0.206559263521289	1	1
#F8766D	solid	0.861434247690167	0.218066743383199	1	1
#F8766D	solid	0.871008664847522	0.183544303797468	1	1
#F8766D	solid	0.880583082004877	0.137514384349827	1	1
#F8766D	solid	0.899731916319588	0.183544303797468	1	1
#F8766D	solid	0.909306333476944	0.149021864211738	1	1
#F8766D	solid	0.923667959212977	0.0799769850402762	1	1
#F8766D	solid	0.952391210685043	0.0914844649021864	1	1
#F8766D	22	0.0619704150509902	0.367663981588032	3	1
#F8766D	22	0.0859064579443787	0.24108170310702	3	1
#F8766D	22	0.114629709416445	0.102991944764097	3	1
#F8766D	22	0.511968021446694	0.28711162255466	3	1
#F8766D	22	0.564627315812149	0.149021864211738	3	1
#F8766D	22	0.588563358705538	0.126006904487917	3	1
#F8766D	22	0.612499401598926	0.0799769850402762	3	1
#F8766D	22	0.641222653070992	0.102991944764097	3	1
#F8766D	22	0.693881947436447	0.149021864211738	3	1
#F8766D	22	0.722605198908513	0.195051783659379	3	1
#F8766D	22	0.751328450380579	0.183544303797468	3	1
#F8766D	22	0.780051701852646	0.114499424626007	3	1
#F8766D	22	0.808774953324712	0.0684695051783659	3	1
#F8766D	22	0.837498204796778	0.137514384349827	3	1
